Parameters:
EtaF;20580
BetaF;1.5
EtaR;100
BetaR;1.2
Initial N;10000
Delta t;0.1
T (seconds);25200
Number of experiments;1000

Time;FailureMean;FailureMean+Sqrt(Var);
;25,72;30,69;
;25,54;30,56;
;25,62;30,58;
;25,80;30,77;
;25,81;30,76;
;25,83;30,84;
;25,97;30,95;
;25,93;30,91;
;25,93;30,84;
;25,92;30,88;
;26,07;31,04;
;26,03;31,00;
;26,13;31,05;
;26,17;31,18;
;26,16;31,17;
;26,07;31,00;
;26,11;31,02;
;26,30;31,22;
;26,41;31,30;
;26,47;31,51;
;26,41;31,45;
;26,44;31,50;
;26,46;31,50;
;26,52;31,68;
;26,67;31,83;
;26,68;31,94;
;26,76;32,02;
;26,73;31,94;
;26,89;32,05;
;26,97;32,02;
;26,98;32,12;
;26,92;32,15;
;26,90;32,08;
;26,92;32,01;
;26,86;31,87;
;26,83;31,98;
;26,98;32,21;
;26,92;32,16;
;26,93;31,98;
;26,86;32,03;
;26,89;32,01;
;27,05;32,10;
;27,15;32,28;
;27,07;32,09;
;27,23;32,23;
;27,18;32,28;
;27,12;32,31;
;27,19;32,48;
;27,25;32,51;
;27,31;32,52;
;27,46;32,80;
1,00;27,61;32,82;
;27,63;32,83;
;27,80;32,95;
;27,80;33,01;
;27,82;33,08;
;27,76;33,00;
;27,76;33,07;
;27,76;33,10;
;27,82;33,09;
;27,80;33,12;
;27,85;33,22;
;28,00;33,37;
;28,00;33,21;
;27,93;33,33;
;27,88;33,12;
;27,89;33,02;
;28,00;33,16;
;28,04;33,18;
;28,05;33,32;
;28,00;33,28;
;28,11;33,40;
;28,01;33,37;
;28,13;33,47;
;28,14;33,54;
;28,09;33,48;
;28,06;33,53;
;28,05;33,36;
;28,12;33,44;
;28,27;33,66;
;28,34;33,73;
;28,41;33,80;
;28,61;33,99;
;28,69;33,91;
;28,72;33,99;
;28,78;34,22;
;28,91;34,35;
;28,97;34,42;
;29,13;34,64;
;29,22;34,76;
;29,38;34,82;
;29,30;34,70;
;29,21;34,64;
;29,33;34,77;
;29,45;34,84;
;29,48;34,82;
;29,51;34,82;
;29,46;34,81;
