Time;Mean;Mean+Sqrt(Var);Mean-Sqrt(Var);Working Machines
;91,2;94,24;88,16;91
;91,2;94,24;88,16;91
;91,2;94,24;88,16;91
;91,2;94,24;88,16;91
;91,2;94,24;88,16;91
;91,19;94,22;88,16;91
;91,17;94,22;88,12;91
;91,15;94,19;88,11;91
;91,14;94,19;88,09;91
;91,12;94,16;88,08;91
;91,1;94,14;88,06;91
;91,08;94,13;88,03;91
95,00;91,06;94,1;88,02;91
;91,05;94,09;88,01;91
;91,04;94,07;88,01;91
;91,04;94,07;88,01;91
;91,03;94,05;88,01;91
;91,03;94,05;88,01;91
;91,03;94,05;88,01;91
;91;94,04;87,96;91
;90,99;94,03;87,95;90
;90,98;94,05;87,91;90
;90,98;94,05;87,91;90
;90,95;93,99;87,91;90
;90,94;93,99;87,89;90
;90,94;93,99;87,89;90
;90,94;93,99;87,89;90
;90,93;93,98;87,88;90
;90,93;93,98;87,88;90
;90,93;93,98;87,88;90
;90,92;93,98;87,86;90
;90,91;93,98;87,84;90
;90,9;93,97;87,83;90
;90,9;93,97;87,83;90
;90,89;93,95;87,83;90
;90,89;93,95;87,83;90
;90,88;93,94;87,82;90
;90,86;93,89;87,83;90
;90,83;93,87;87,79;90
;90,82;93,87;87,77;90
;90,82;93,87;87,77;90
;90,82;93,87;87,77;90
;90,82;93,87;87,77;90
;90,82;93,87;87,77;90
;90,81;93,86;87,76;90
;90,8;93,87;87,73;90
;90,8;93,87;87,73;90
;90,79;93,86;87,72;90
;90,77;93,83;87,71;90
;90,75;93,8;87,7;90
;90,72;93,78;87,66;90
;90,7;93,76;87,64;90
;90,7;93,76;87,64;90
;90,69;93,75;87,63;90
;90,68;93,72;87,64;90
;90,67;93,71;87,63;90
;90,66;93,7;87,62;90
;90,63;93,66;87,6;90
;90,63;93,66;87,6;90
;90,62;93,65;87,59;90
;90,59;93,61;87,57;90
;90,59;93,61;87,57;90
