Time;N(t)
53,20;94
53,30;94
53,40;94
53,50;94
53,60;94
53,70;94
53,80;94
53,90;94
54,00;94
54,10;94
54,20;94
54,30;94
54,40;94
54,50;94
54,60;94
54,70;94
54,80;94
54,90;94
55,00;94
55,10;94
55,20;94
55,30;94
55,40;94
55,50;94
55,60;94
55,70;94
55,80;94
55,90;94
56,00;94
56,10;94
56,20;94
56,30;94
56,40;94
56,50;94
56,60;94
56,70;94
56,80;94
56,90;94
57,00;94
57,10;94
57,20;94
57,30;94
57,40;94
57,50;94
57,60;94
57,70;94
57,80;94
57,90;94
58,00;94
58,10;94
58,20;94
58,30;94
58,40;94
58,50;94
58,60;94
58,70;94
58,80;94
58,90;94
59,00;94
59,10;94
59,20;94
59,30;94
59,40;94
59,50;94
59,60;94
59,70;94
59,80;94
59,90;94
60,00;94
60,10;94
60,20;94
60,30;94
60,40;94
60,50;94
60,60;94
60,70;94
60,80;94
60,90;94
61,00;94
61,10;94
61,20;94
61,30;94
61,40;94
61,50;94
61,60;94
61,70;94
61,80;94
61,90;94
62,00;94
62,10;94
62,20;94
62,30;94
62,40;94
62,50;94
62,60;94
62,70;94
62,80;94
62,90;94
63,00;94
63,10;94
63,20;94
63,30;94
63,40;94
63,50;94
63,60;94
63,70;94
63,80;94
63,90;94
64,00;94
64,10;94
64,20;94
64,30;94
64,40;94
64,50;94
64,60;93
64,70;93
64,80;93
64,90;93
65,00;93
65,10;93
65,20;93
65,30;93
65,40;93
65,50;93
65,60;93
65,70;93
65,80;93
65,90;93
66,00;93
66,10;93
66,20;93
66,30;93
66,40;93
66,50;93
66,60;93
66,70;93
66,80;93
66,90;93
67,00;93
67,10;93
67,20;93
67,30;93
67,40;93
67,50;93
67,60;93
67,70;93
67,80;93
67,90;93
68,00;93
68,10;93
68,20;93
68,30;93
68,40;93
68,50;93
68,60;93
68,70;93
68,80;93
68,90;93
69,00;93
69,10;93
69,20;93
69,30;93
69,40;93
69,50;93
69,60;93
69,70;93
69,80;93
69,90;93
70,00;93
70,10;93
70,20;93
70,30;93
70,40;93
70,50;93
70,60;93
70,70;93
70,80;93
70,90;92
71,00;92
71,10;92
71,20;92
71,30;92
71,40;92
71,50;92
71,60;92
71,70;92
71,80;92
71,90;92
72,00;92
72,10;92
72,20;92
72,30;92
72,40;92
72,50;92
72,60;92
72,70;92
72,80;92
72,90;92
73,00;92
73,10;92
73,20;92
73,30;92
73,40;92
73,50;92
73,60;92
73,70;92
73,80;92
73,90;92
74,00;92
74,10;92
74,20;92
74,30;92
74,40;92
74,50;92
74,60;92
74,70;92
74,80;92
74,90;92
75,00;92
75,10;92
75,20;92
75,30;92
75,40;92
75,50;92
75,60;92
75,70;92
75,80;92
75,90;91
76,00;91
76,10;91
76,20;91
76,30;91
76,40;91
76,50;91
76,60;91
76,70;91
76,80;91
76,90;91
77,00;91
77,10;91
77,20;91
77,30;91
77,40;91
77,50;91
77,60;91
77,70;91
77,80;91
77,90;91
78,00;91
78,10;91
78,20;91
78,30;91
78,40;91
78,50;91
78,60;91
78,70;91
78,80;91
78,90;91
79,00;91
79,10;91
79,20;91
79,30;91
79,40;91
79,50;91
79,60;91
79,70;91
79,80;91
79,90;91
80,00;91
80,10;91
80,20;91
80,30;91
80,40;91
80,50;91
80,60;91
80,70;91
80,80;91
80,90;91
81,00;91
81,10;91
81,20;91
81,30;91
81,40;91
81,50;91
81,60;91
81,70;91
81,80;91
81,90;91
82,00;91
82,10;91
82,20;91
82,30;91
82,40;91
82,50;91
82,60;91
82,70;91
82,80;91
82,90;91
83,00;91
83,10;91
83,20;91
83,30;91
83,40;91
83,50;91
83,60;91
83,70;91
83,80;91
83,90;91
84,00;91
84,10;91
84,20;91
84,30;91
84,40;91
84,50;91
84,60;91
84,70;91
84,80;91
84,90;91
85,00;91
85,10;91
85,20;91
85,30;91
85,40;91
85,50;91
85,60;91
85,70;91
85,80;91
85,90;91
86,00;91
86,10;91
86,20;91
86,30;91
86,40;91
86,50;91
86,60;91
86,70;91
86,80;91
86,90;91
87,00;91
87,10;91
87,20;91
87,30;91
87,40;91
87,50;91
87,60;91
87,70;91
87,80;91
87,90;91
88,00;91
88,10;91
88,20;91
88,30;91
88,40;91
88,50;91
88,60;91
88,70;91
88,80;91
88,90;91
89,00;91
89,10;91
89,20;91
89,30;91
89,40;91
89,50;91
89,60;91
89,70;91
89,80;91
89,90;91
90,00;90
90,10;90
90,20;90
90,30;90
90,40;90
90,50;90
90,60;90
90,70;90
90,80;90
90,90;90
91,00;90
91,10;90
91,20;90
91,30;90
91,40;90
91,50;90
91,60;90
91,70;90
91,80;90
91,90;90
92,00;90
92,10;90
92,20;90
92,30;90
92,40;90
92,50;90
92,60;90
92,70;90
92,80;90
92,90;90
93,00;90
93,10;90
93,20;90
93,30;90
93,40;90
93,50;90
93,60;90
93,70;90
93,80;90
93,90;90
94,00;90
94,10;90
94,20;90
94,30;90
94,40;89
94,50;89
94,60;89
94,70;89
94,80;89
94,90;89
95,00;89
95,10;89
95,20;89
95,30;89
95,40;89
95,50;89
95,60;89
95,70;89
95,80;89
95,90;89
96,00;89
96,10;89
96,20;89
96,30;89
96,40;89
96,50;89
96,60;89
96,70;89
96,80;89
96,90;89
97,00;89
97,10;89
97,20;89
97,30;89
97,40;89
97,50;89
97,60;89
97,70;89
97,80;89
97,90;89
98,00;89
98,10;89
98,20;89
98,30;89
98,40;89
98,50;89
98,60;89
98,70;89
98,80;89
98,90;89
99,00;89
99,10;89
99,20;89
99,30;89
99,40;89
99,50;89
99,60;89
99,70;89
99,80;89
99,90;89
