Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,01;0,13;0,00;-nan;
;1,03;1,95;0,95;4,11;
;2,04;3,30;1,81;4,97;
;2,69;4,21;2,59;5,75;
;3,42;5,02;3,30;6,46;
;4,06;5,98;3,93;7,09;
;4,64;6,72;4,51;7,67;
;4,95;7,15;5,03;8,19;
;5,46;7,64;5,50;8,66;
;5,76;8,16;5,93;9,09;
;6,25;8,85;6,32;9,48;
;6,50;9,17;6,67;9,83;
;6,70;9,34;6,98;10,14;
;6,94;9,58;7,27;10,43;
;7,10;9,73;7,53;10,69;
;7,37;10,23;7,76;10,92;
;7,52;10,39;7,98;11,14;
;7,73;10,53;8,17;11,33;
0,50;7,81;10,56;8,34;11,50;
;7,97;10,88;8,50;11,66;
;8,00;11,13;8,64;11,80;
;8,29;11,55;8,77;11,93;
;8,37;11,64;8,89;12,04;
;8,57;11,80;8,99;12,15;
;8,69;11,89;9,09;12,25;
;8,87;12,15;9,17;12,33;
;8,99;12,29;9,25;12,41;
;9,12;12,23;9,32;12,48;
;9,11;12,38;9,38;12,54;
;9,12;12,27;9,44;12,60;
;9,41;12,32;9,49;12,65;
;9,49;12,42;9,54;12,70;
;9,49;12,38;9,58;12,74;
;9,35;12,44;9,62;12,78;
;9,47;12,49;9,66;12,82;
;9,66;12,71;9,69;12,85;
1,00;9,54;12,62;9,72;12,88;
;9,64;12,90;9,74;12,90;
;9,78;12,93;9,77;12,93;
;9,77;12,78;9,79;12,95;
;9,80;12,82;9,81;12,97;
;9,69;12,72;9,83;12,98;
;9,70;12,71;9,84;13,00;
;9,80;12,91;9,86;13,01;
;9,95;13,13;9,87;13,03;
;9,89;13,24;9,88;13,04;
;9,69;13,06;9,89;13,05;
;9,72;13,03;9,90;13,06;
;9,80;12,87;9,91;13,07;
;9,76;12,90;9,92;13,08;
;9,90;13,09;9,92;13,08;
;10,04;13,22;9,93;13,09;
;10,37;13,68;9,94;13,09;
;10,29;13,28;9,94;13,10;
1,50;10,24;13,19;9,95;13,10;
;10,48;13,32;9,95;13,11;
;10,47;13,43;9,95;13,11;
;10,56;13,45;9,96;13,12;
;10,61;13,48;9,96;13,12;
;10,42;13,26;9,96;13,12;
;10,44;13,30;9,97;13,12;
;10,32;13,30;9,97;13,13;
;10,34;13,33;9,97;13,13;
;10,12;13,21;9,97;13,13;
;10,07;13,29;9,97;13,13;
;10,19;13,42;9,98;13,13;
;10,01;13,16;9,98;13,14;
;9,80;12,90;9,98;13,14;
;9,58;12,77;9,98;13,14;
;9,70;12,93;9,98;13,14;
;9,75;13,01;9,98;13,14;
;9,90;13,25;9,98;13,14;
2,00;9,76;13,12;9,98;13,14;
;9,69;13,01;9,98;13,14;
;9,75;13,00;9,98;13,14;
;9,71;12,86;9,98;13,14;
;9,99;13,37;9,99;13,14;
;10,11;13,60;9,99;13,14;
;9,84;13,17;9,99;13,15;
;9,97;13,22;9,99;13,15;
;10,10;13,43;9,99;13,15;
;10,16;13,58;9,99;13,15;
;10,14;13,60;9,99;13,15;
;10,07;13,28;9,99;13,15;
;9,95;13,06;9,99;13,15;
;9,94;13,02;9,99;13,15;
;9,76;12,78;9,99;13,15;
;9,81;12,91;9,99;13,15;
