Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
;4,94;7,16;9,99;13,15;;;
;4,94;7,17;9,99;13,15;;;
;4,94;7,14;9,99;13,15;;;
;4,9;7,09;9,99;13,15;;;
;4,93;7,12;9,99;13,15;;;
;4,97;7,15;9,99;13,15;;;
;4,9;7,08;9,99;13,15;;;
;4,87;7,02;9,99;13,15;;;
4,5;4,89;7,09;9,99;13,15;;;
;4,91;7,11;9,99;13,15;;;
;4,86;7,05;9,99;13,15;;;
;4,87;7,05;9,99;13,15;;;
;4,86;7,08;9,99;13,15;;;
;4,88;7,09;9,99;13,15;;;
;4,91;7,11;9,99;13,15;;;
;4,84;7,01;9,99;13,15;;;
;4,87;7,08;9,99;13,15;;;
;4,87;7,11;9,99;13,15;;;
;4,89;7,12;9,99;13,15;;;
;4,84;7,03;9,99;13,15;;;
;4,81;6,99;9,99;13,15;;;
;4,8;6,97;9,99;13,15;;;
;4,81;7;9,99;13,15;;;
;4,83;7,02;9,99;13,15;;;
;4,84;7,02;9,99;13,15;;;
;4,86;7,02;9,99;13,15;;;
5;4,83;7;9,99;13,15;;;
;4,85;7,03;9,99;13,15;;;
;4,8;6,97;9,99;13,15;;;
;4,79;6,94;9,99;13,15;;;
;4,83;6,93;9,99;13,15;;;
;4,85;7,01;9,99;13,15;;;
;4,81;6,98;9,99;13,15;;;
;4,85;7,01;9,99;13,15;;;
;4,82;6,99;9,99;13,15;;;
;4,78;6,95;9,99;13,15;;;
;4,76;6,91;9,99;13,15;;;
;4,76;6,9;9,99;13,15;;;
;4,71;6,85;9,99;13,15;;;
;4,73;6,8;9,99;13,15;;;
;4,73;6,82;9,99;13,15;;;
;4,74;6,89;9,99;13,15;;;
;4,74;6,89;9,99;13,15;;;
;4,72;6,87;9,99;13,15;;;
5,5;4,74;6,88;9,99;13,15;;;
;4,79;6,99;9,99;13,15;;;
;4,77;6,95;9,99;13,15;;;
;4,75;6,97;9,99;13,15;;;
;4,73;6,93;9,99;13,15;;;
;4,68;6,88;9,99;13,15;;;
;4,61;6,74;9,99;13,15;;;
;4,61;6,76;9,99;13,15;;;
;4,64;6,77;9,99;13,15;;;
;4,62;6,74;9,99;13,15;;;
;4,62;6,79;9,99;13,15;;;
;4,64;6,81;9,99;13,15;;;
;4,59;6,71;9,99;13,15;;;
;4,6;6,73;9,99;13,15;;;
;4,64;6,81;9,99;13,15;;;
;4,67;6,83;9,99;13,15;;;
;4,65;6,8;9,99;13,15;;;
;4,6;6,75;9,99;13,15;;;
6;4,56;6,68;9,99;13,15;;;
;4,56;6,7;9,99;13,15;;;
;4,56;6,76;9,99;13,15;;;
;4,56;6,76;9,99;13,15;;;
;4,55;6,73;9,99;13,15;;;
;4,53;6,69;9,99;13,15;;;
;4,56;6,73;9,99;13,15;;;
;4,54;6,7;9,99;13,15;;;
;4,54;6,64;9,99;13,15;;;
;4,54;6,64;9,99;13,15;;;
;4,47;6,55;9,99;13,15;;;
;4,44;6,53;9,99;13,15;;;
;4,44;6,53;9,99;13,15;;;
;4,46;6,53;9,99;13,15;;;
;4,47;6,52;9,99;13,15;;;
;4,51;6,63;9,99;13,15;;;
;4,52;6,67;9,99;13,15;;;
;4,5;6,62;9,99;13,15;;;
6,5;4,5;6,64;9,99;13,15;;;
;4,48;6,6;9,99;13,15;;;
;4,52;6,66;9,99;13,15;;;
;4,54;6,76;9,99;13,15;;;
;4,53;6,74;9,99;13,15;;;
;4,52;6,72;9,99;13,15;;;
;4,53;6,68;9,99;13,15;;;
;4,51;6,62;9,99;13,15;;;
;4,51;6,63;9,99;13,15;;;
;4,45;6,55;9,99;13,15;;;
;4,43;6,52;9,99;13,15;;;
;4,5;6,57;9,99;13,15;;;
;4,52;6,59;9,99;13,15;;;
;4,52;6,64;9,99;13,15;;;
;4,52;6,64;9,99;13,15;;;
;4,52;6,62;9,99;13,15;;;
;4,54;6,62;9,99;13,15;;;
;4,49;6,52;9,99;13,15;;;
7;4,49;6,55;9,99;13,15;;;
;4,48;6,53;9,99;13,15;;;
;4,48;6,51;9,99;13,15;;;
;4,43;6,49;9,99;13,15;;;
;4,46;6,55;9,99;13,15;;;
;4,48;6,6;9,99;13,15;;;
;4,49;6,59;9,99;13,15;;;
;4,5;6,57;9,99;13,15;;;
;4,45;6,5;9,99;13,15;;;
;4,45;6,54;9,99;13,15;;;
;4,46;6,55;9,99;13,15;;;
;4,47;6,54;9,99;13,15;;;
;4,49;6,59;9,99;13,15;;;
;4,48;6,57;9,99;13,15;;;
;4,43;6,51;9,99;13,15;;;
;4,47;6,53;9,99;13,15;;;
;4,44;6,48;9,99;13,15;;;
;4,45;6,52;9,99;13,15;;;
7,5;4,45;6,51;9,99;13,15;;;
;4,43;6,46;9,99;13,15;;;
;4,4;6,4;9,99;13,15;;;
;4,41;6,43;9,99;13,15;;;
;4,43;6,48;9,99;13,15;;;
;4,42;6,45;9,99;13,15;;;
;4,45;6,5;9,99;13,15;;;
;4,45;6,5;9,99;13,15;;;
;4,43;6,49;9,99;13,15;;;
;4,41;6,44;9,99;13,15;;;
;4,42;6,47;9,99;13,15;;;
;4,42;6,49;9,99;13,15;;;
;4,39;6,45;9,99;13,15;;;
;4,4;6,45;9,99;13,15;;;
;4,41;6,48;9,99;13,15;;;
;4,41;6,47;9,99;13,15;;;
;4,41;6,48;9,99;13,15;;;
;4,35;6,43;9,99;13,15;;;
8;4,38;6,46;9,99;13,15;;;
;4,36;6,45;9,99;13,15;;;
;4,34;6,39;9,99;13,15;;;
;4,33;6,4;9,99;13,15;;;
;4,32;6,38;9,99;13,15;;;
;4,32;6,38;9,99;13,15;;;
;4,29;6,36;9,99;13,15;;;
;4,37;6,4;9,99;13,15;;;
;4,31;6,39;9,99;13,15;;;
;4,26;6,32;9,99;13,15;;;
;4,25;6,29;9,99;13,15;;;
;4,22;6,24;9,99;13,15;;;
;4,23;6,25;9,99;13,15;;;
;4,2;6,24;9,99;13,15;;;
;4,23;6,26;9,99;13,15;;;
;4,21;6,23;9,99;13,15;;;
;4,2;6,23;9,99;13,15;;;
;4,17;6,21;9,99;13,15;;;
8,5;4,16;6,25;9,99;13,15;;;
;4,18;6,28;9,99;13,15;;;
;4,17;6,24;9,99;13,15;;;
;4,17;6,18;9,99;13,15;;;
;4,15;6,16;9,99;13,15;;;
;4,16;6,15;9,99;13,15;;;
;4,19;6,21;9,99;13,15;;;
;4,18;6,17;9,99;13,15;;;
;4,2;6,21;9,99;13,15;;;
;4,23;6,24;9,99;13,15;;;
;4,19;6,17;9,99;13,15;;;
;4,22;6,21;9,99;13,15;;;
;4,24;6,28;9,99;13,15;;;
;4,23;6,33;9,99;13,15;;;
;4,26;6,37;9,99;13,15;;;
;4,28;6,39;9,99;13,15;;;
;4,3;6,39;9,99;13,15;;;
;4,24;6,31;9,99;13,15;;;
9;4,22;6,3;9,99;13,15;;;
;4,24;6,35;9,99;13,15;;;
;4,23;6,36;9,99;13,15;;;
;4,21;6,34;9,99;13,15;;;
;4,23;6,37;9,99;13,15;;;
;4,22;6,33;9,99;13,15;;;
;4,21;6,29;9,99;13,15;;;
;4,22;6,28;9,99;13,15;;;
;4,2;6,22;9,99;13,15;;;
;4,17;6,2;9,99;13,15;;;
;4,15;6,2;9,99;13,15;;;
;4,16;6,22;9,99;13,15;;;
;4,12;6,16;9,99;13,15;;;
;4,14;6,19;9,99;13,15;;;
;4,14;6,17;9,99;13,15;;;
;4,12;6,16;9,99;13,15;;;
;4,06;6,12;9,99;13,15;;;
;4,05;6,07;9,99;13,15;;;
9,5;4,09;6,14;9,99;13,15;;;
;4,07;6,13;9,99;13,15;;;
;4,05;6,08;9,99;13,15;;;
;4,02;6,05;9,99;13,15;;;
;4;5,99;9,99;13,15;;;
;4,05;6,08;9,99;13,15;;;
;4,04;6,02;9,99;13,15;;;
;4,03;6,02;9,99;13,15;;;
;4,07;6,08;9,99;13,15;;;
;4,06;6,08;9,99;13,15;;;
;4,07;6,07;9,99;13,15;;;
;4,07;6,07;9,99;13,15;;;
;4,06;6,05;9,99;13,15;;;
;4,13;6,14;9,99;13,15;;;
;4,1;6,11;9,99;13,15;;;
;4,09;6,1;9,99;13,15;;;
;4,1;6,15;9,99;13,15;;;
;4,11;6,16;9,99;13,15;;;
10;4,13;6,22;9,99;13,15;;;
;4,17;6,27;9,99;13,15;;;
;4,18;6,25;9,99;13,15;;;
;4,15;6,16;9,99;13,15;;;
;4,17;6,15;9,99;13,15;;;
;4,16;6,14;9,99;13,15;;;
;4,11;6,07;9,99;13,15;;;
;4,08;6,01;9,99;13,15;;;
;4,1;6,06;9,99;13,15;;;
;4,08;6,1;9,99;13,15;;;
;4,08;6,07;9,99;13,15;;;
;4,07;6,11;9,99;13,15;;;
;4,06;6,1;9,99;13,15;;;
;4,06;6,1;9,99;13,15;;;
;4,04;6,07;9,99;13,15;;;
;4,01;6,05;9,99;13,15;;;
;3,99;6,03;9,99;13,15;;;
;3,99;6,02;9,99;13,15;;;
;4,01;6,06;9,99;13,15;;;
;4,02;6,06;9,99;13,15;;;
;4,03;6,07;9,99;13,15;;;
;4,03;6,07;9,99;13,15;;;
;4,03;6,08;9,99;13,15;;;
;4,04;6,11;9,99;13,15;;;
;4,03;6,1;9,99;13,15;;;
;4;6,06;9,99;13,15;;;
