Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
;3,51;5,42;9,99;13,15;;;
;3,51;5,38;9,99;13,15;;;
;3,5;5,37;9,99;13,15;;;
;3,5;5,4;9,99;13,15;;;
19;3,5;5,38;9,99;13,15;;;
;3,51;5,37;9,99;13,15;;;
;3,47;5,28;9,99;13,15;;;
;3,44;5,21;9,99;13,15;;;
;3,43;5,23;9,99;13,15;;;
;3,45;5,27;9,99;13,15;;;
;3,47;5,31;9,99;13,15;;;
;3,51;5,37;9,99;13,15;;;
;3,52;5,36;9,99;13,15;;;
;3,53;5,39;9,99;13,15;;;
;3,55;5,44;9,99;13,15;;;
;3,59;5,48;9,99;13,15;;;
;3,6;5,5;9,99;13,15;;;
;3,61;5,47;9,99;13,15;;;
;3,65;5,55;9,99;13,15;;;
;3,63;5,49;9,99;13,15;;;
;3,62;5,45;9,99;13,15;;;
;3,63;5,46;9,99;13,15;;;
19,5;3,58;5,41;9,99;13,15;;;
;3,56;5,4;9,99;13,15;;;
;3,59;5,49;9,99;13,15;;;
;3,58;5,47;9,99;13,15;;;
;3,62;5,54;9,99;13,15;;;
;3,62;5,55;9,99;13,15;;;
;3,62;5,56;9,99;13,15;;;
;3,65;5,63;9,99;13,15;;;
;3,66;5,65;9,99;13,15;;;
;3,66;5,61;9,99;13,15;;;
;3,68;5,61;9,99;13,15;;;
;3,7;5,63;9,99;13,15;;;
;3,68;5,59;9,99;13,15;;;
;3,68;5,6;9,99;13,15;;;
;3,68;5,55;9,99;13,15;;;
;3,64;5,51;9,99;13,15;;;
;3,65;5,55;9,99;13,15;;;
;3,62;5,49;9,99;13,15;;;
20;3,59;5,44;9,99;13,15;;;
;3,56;5,43;9,99;13,15;;;
;3,54;5,43;9,99;13,15;;;
;3,51;5,39;9,99;13,15;;;
;3,51;5,39;9,99;13,15;;;
;3,51;5,4;9,99;13,15;;;
;3,51;5,4;9,99;13,15;;;
;3,47;5,31;9,99;13,15;;;
;3,47;5,28;9,99;13,15;;;
;3,48;5,31;9,99;13,15;;;
;3,49;5,36;9,99;13,15;;;
;3,48;5,34;9,99;13,15;;;
;3,43;5,31;9,99;13,15;;;
;3,45;5,31;9,99;13,15;;;
;3,44;5,3;9,99;13,15;;;
;3,43;5,27;9,99;13,15;;;
;3,45;5,29;9,99;13,15;;;
;3,45;5,29;9,99;13,15;;;
20,5;3,46;5,31;9,99;13,15;;;
;3,43;5,33;9,99;13,15;;;
;3,4;5,28;9,99;13,15;;;
;3,39;5,26;9,99;13,15;;;
;3,45;5,34;9,99;13,15;;;
;3,42;5,31;9,99;13,15;;;
;3,42;5,28;9,99;13,15;;;
;3,47;5,33;9,99;13,15;;;
;3,45;5,28;9,99;13,15;;;
;3,43;5,28;9,99;13,15;;;
;3,43;5,31;9,99;13,15;;;
;3,45;5,35;9,99;13,15;;;
;3,43;5,32;9,99;13,15;;;
;3,44;5,31;9,99;13,15;;;
;3,48;5,37;9,99;13,15;;;
;3,46;5,34;9,99;13,15;;;
;3,44;5,32;9,99;13,15;;;
;3,44;5,31;9,99;13,15;;;
;3,44;5,29;9,99;13,15;;;
;3,44;5,34;9,99;13,15;;;
;3,47;5,36;9,99;13,15;;;
;3,48;5,38;9,99;13,15;;;
;3,47;5,35;9,99;13,15;;;
;3,47;5,32;9,99;13,15;;;
;3,47;5,32;9,99;13,15;;;
;3,49;5,33;9,99;13,15;;;
;3,46;5,27;9,99;13,15;;;
;3,47;5,31;9,99;13,15;;;
;3,47;5,34;9,99;13,15;;;
;3,47;5,36;9,99;13,15;;;
;3,5;5,43;9,99;13,15;;;
;3,49;5,41;9,99;13,15;;;
;3,5;5,45;9,99;13,15;;;
;3,45;5,39;9,99;13,15;;;
;3,45;5,39;9,99;13,15;;;
;3,5;5,41;9,99;13,15;;;
21,5;3,5;5,39;9,99;13,15;;;
;3,47;5,35;9,99;13,15;;;
;3,46;5,34;9,99;13,15;;;
;3,47;5,34;9,99;13,15;;;
;3,48;5,36;9,99;13,15;;;
;3,48;5,38;9,99;13,15;;;
;3,49;5,38;9,99;13,15;;;
;3,48;5,36;9,99;13,15;;;
;3,51;5,39;9,99;13,15;;;
;3,51;5,39;9,99;13,15;;;
;3,52;5,37;9,99;13,15;;;
;3,55;5,41;9,99;13,15;;;
;3,57;5,46;9,99;13,15;;;
;3,58;5,42;9,99;13,15;;;
;3,59;5,43;9,99;13,15;;;
;3,56;5,39;9,99;13,15;;;
;3,56;5,37;9,99;13,15;;;
;3,58;5,4;9,99;13,15;;;
22;3,56;5,41;9,99;13,15;;;
;3,56;5,45;9,99;13,15;;;
;3,6;5,49;9,99;13,15;;;
;3,57;5,43;9,99;13,15;;;
;3,59;5,47;9,99;13,15;;;
;3,54;5,39;9,99;13,15;;;
;3,52;5,37;9,99;13,15;;;
;3,47;5,3;9,99;13,15;;;
;3,44;5,31;9,99;13,15;;;
;3,42;5,31;9,99;13,15;;;
;3,41;5,3;9,99;13,15;;;
;3,41;5,28;9,99;13,15;;;
;3,39;5,25;9,99;13,15;;;
;3,42;5,32;9,99;13,15;;;
;3,38;5,25;9,99;13,15;;;
;3,38;5,22;9,99;13,15;;;
;3,41;5,26;9,99;13,15;;;
;3,4;5,28;9,99;13,15;;;
22,5;3,48;5,35;9,99;13,15;;;
;3,5;5,4;9,99;13,15;;;
;3,51;5,43;9,99;13,15;;;
;3,51;5,41;9,99;13,15;;;
;3,53;5,43;9,99;13,15;;;
;3,52;5,43;9,99;13,15;;;
;3,52;5,4;9,99;13,15;;;
;3,5;5,39;9,99;13,15;;;
;3,51;5,38;9,99;13,15;;;
;3,48;5,37;9,99;13,15;;;
;3,45;5,36;9,99;13,15;;;
;3,47;5,38;9,99;13,15;;;
;3,45;5,33;9,99;13,15;;;
;3,47;5,34;9,99;13,15;;;
;3,45;5,29;9,99;13,15;;;
;3,42;5,26;9,99;13,15;;;
;3,43;5,32;9,99;13,15;;;
;3,43;5,29;9,99;13,15;;;
23;3,42;5,31;9,99;13,15;;;
;3,45;5,31;9,99;13,15;;;
;3,45;5,29;9,99;13,15;;;
;3,46;5,32;9,99;13,15;;;
;3,49;5,36;9,99;13,15;;;
;3,49;5,33;9,99;13,15;;;
;3,51;5,36;9,99;13,15;;;
;3,51;5,36;9,99;13,15;;;
;3,47;5,32;9,99;13,15;;;
;3,45;5,31;9,99;13,15;;;
;3,44;5,34;9,99;13,15;;;
;3,46;5,31;9,99;13,15;;;
;3,43;5,29;9,99;13,15;;;
;3,43;5,32;9,99;13,15;;;
;3,39;5,28;9,99;13,15;;;
;3,4;5,26;9,99;13,15;;;
;3,39;5,28;9,99;13,15;;;
;3,37;5,24;9,99;13,15;;;
;3,37;5,19;9,99;13,15;;;
;3,35;5,16;9,99;13,15;;;
;3,35;5,2;9,99;13,15;;;
;3,33;5,2;9,99;13,15;;;
;3,36;5,2;9,99;13,15;;;
;3,37;5,24;9,99;13,15;;;
;3,37;5,2;9,99;13,15;;;
;3,39;5,21;9,99;13,15;;;
;3,37;5,19;9,99;13,15;;;
;3,34;5,15;9,99;13,15;;;
;3,36;5,19;9,99;13,15;;;
;3,38;5,23;9,99;13,15;;;
;3,36;5,2;9,99;13,15;;;
;3,37;5,23;9,99;13,15;;;
;3,36;5,24;9,99;13,15;;;
;3,37;5,24;9,99;13,15;;;
;3,41;5,26;9,99;13,15;;;
;3,42;5,3;9,99;13,15;;;
24;3,4;5,32;9,99;13,15;;;
;3,39;5,26;9,99;13,15;;;
;3,41;5,24;9,99;13,15;;;
;3,4;5,2;9,99;13,15;;;
;3,4;5,21;9,99;13,15;;;
;3,38;5,2;9,99;13,15;;;
;3,34;5,18;9,99;13,15;;;
;3,37;5,19;9,99;13,15;;;
;3,32;5,13;9,99;13,15;;;
;3,33;5,15;9,99;13,15;;;
;3,31;5,12;9,99;13,15;;;
;3,28;5,05;9,99;13,15;;;
;3,28;5,09;9,99;13,15;;;
;3,3;5,09;9,99;13,15;;;
;3,29;5,11;9,99;13,15;;;
;3,32;5,14;9,99;13,15;;;
;3,3;5,16;9,99;13,15;;;
;3,31;5,18;9,99;13,15;;;
24,5;3,33;5,2;9,99;13,15;;;
;3,34;5,21;9,99;13,15;;;
;3,35;5,19;9,99;13,15;;;
;3,37;5,22;9,99;13,15;;;
;3,35;5,19;9,99;13,15;;;
;3,36;5,22;9,99;13,15;;;
;3,37;5,23;9,99;13,15;;;
;3,33;5,18;9,99;13,15;;;
;3,35;5,21;9,99;13,15;;;
;3,36;5,24;9,99;13,15;;;
;3,38;5,29;9,99;13,15;;;
;3,35;5,21;9,99;13,15;;;
;3,36;5,22;9,99;13,15;;;
;3,36;5,22;9,99;13,15;;;
;3,36;5,17;9,99;13,15;;;
;3,34;5,12;9,99;13,15;;;
;3,31;5,09;9,99;13,15;;;
;3,32;5,09;9,99;13,15;;;
25;3,3;5,05;9,99;13,15;;;
;3,27;5,04;9,99;13,15;;;
;3,27;5,02;9,99;13,15;;;
;3,28;5,04;9,99;13,15;;;
;3,32;5,06;9,99;13,15;;;
;3,31;5,04;9,99;13,15;;;
;3,29;5,06;9,99;13,15;;;
;3,29;5,07;9,99;13,15;;;
;3,27;5,06;9,99;13,15;;;
;3,27;5,04;9,99;13,15;;;
;3,23;4,99;9,99;13,15;;;
;3,23;5,05;9,99;13,15;;;
;3,24;5,06;9,99;13,15;;;
;3,25;5,05;9,99;13,15;;;
;3,28;5,11;9,99;13,15;;;
;3,25;5,05;9,99;13,15;;;
;3,25;5,04;9,99;13,15;;;
;3,28;5,07;9,99;13,15;;;
25,5;3,28;5,07;9,99;13,15;;;
;3,32;5,12;9,99;13,15;;;
;3,33;5,16;9,99;13,15;;;
;3,33;5,18;9,99;13,15;;;
;3,35;5,18;9,99;13,15;;;
;3,35;5,19;9,99;13,15;;;
;3,36;5,18;9,99;13,15;;;
;3,36;5,22;9,99;13,15;;;
;3,39;5,23;9,99;13,15;;;
;3,38;5,24;9,99;13,15;;;
;3,36;5,23;9,99;13,15;;;
;3,35;5,23;9,99;13,15;;;
;3,34;5,2;9,99;13,15;;;
;3,32;5,19;9,99;13,15;;;
;3,28;5,11;9,99;13,15;;;
;3,28;5,09;9,99;13,15;;;
;3,34;5,14;9,99;13,15;;;
;3,36;5,16;9,99;13,15;;;
26;3,4;5,26;9,99;13,15;;;
;3,42;5,28;9,99;13,15;;;
;3,39;5,22;9,99;13,15;;;
;3,37;5,2;9,99;13,15;;;
;3,36;5,17;9,99;13,15;;;
;3,36;5,18;9,99;13,15;;;
;3,38;5,22;9,99;13,15;;;
;3,34;5,15;9,99;13,15;;;
;3,34;5,17;9,99;13,15;;;
;3,31;5,14;9,99;13,15;;;
;3,35;5,2;9,99;13,15;;;
;3,33;5,15;9,99;13,15;;;
;3,33;5,18;9,99;13,15;;;
;3,34;5,19;9,99;13,15;;;
;3,33;5,18;9,99;13,15;;;
;3,31;5,13;9,99;13,15;;;
;3,3;5,11;9,99;13,15;;;
;3,31;5,1;9,99;13,15;;;
26,5;3,26;5,03;9,99;13,15;;;
;3,24;5;9,99;13,15;;;
;3,24;4,99;9,99;13,15;;;
;3,27;5,06;9,99;13,15;;;
;3,3;5,1;9,99;13,15;;;
;3,32;5,13;9,99;13,15;;;
;3,32;5,17;9,99;13,15;;;
;3,31;5,1;9,99;13,15;;;
;3,3;5,06;9,99;13,15;;;
;3,3;5,06;9,99;13,15;;;
;3,29;5,07;9,99;13,15;;;
;3,26;5,05;9,99;13,15;;;
;3,29;5,06;9,99;13,15;;;
;3,26;5,06;9,99;13,15;;;
;3,26;5,07;9,99;13,15;;;
;3,25;5,03;9,99;13,15;;;
;3,26;5,05;9,99;13,15;;;
;3,29;5,11;9,99;13,15;;;
27;3,3;5,13;9,99;13,15;;;
;3,32;5,13;9,99;13,15;;;
;3,26;5,03;9,99;13,15;;;
;3,29;5,09;9,99;13,15;;;
;3,28;5,11;9,99;13,15;;;
;3,26;5,08;9,99;13,15;;;
;3,29;5,1;9,99;13,15;;;
;3,29;5,08;9,99;13,15;;;
;3,28;5,09;9,99;13,15;;;
;3,32;5,12;9,99;13,15;;;
;3,34;5,14;9,99;13,15;;;
;3,37;5,15;9,99;13,15;;;
;3,36;5,14;9,99;13,15;;;
;3,36;5,15;9,99;13,15;;;
;3,38;5,2;9,99;13,15;;;
;3,38;5,15;9,99;13,15;;;
;3,34;5,13;9,99;13,15;;;
;3,34;5,15;9,99;13,15;;;
27,5;3,34;5,14;9,99;13,15;;;
;3,34;5,18;9,99;13,15;;;
;3,31;5,11;9,99;13,15;;;
;3,3;5,09;9,99;13,15;;;
;3,27;5,04;9,99;13,15;;;
;3,3;5,12;9,99;13,15;;;
;3,32;5,12;9,99;13,15;;;
;3,35;5,14;9,99;13,15;;;
;3,31;5,07;9,99;13,15;;;
;3,31;5,06;9,99;13,15;;;
;3,31;5,05;9,99;13,15;;;
;3,3;5,03;9,99;13,15;;;
;3,31;5,09;9,99;13,15;;;
;3,3;5,08;9,99;13,15;;;
;3,32;5,12;9,99;13,15;;;
;3,35;5,18;9,99;13,15;;;
;3,32;5,14;9,99;13,15;;;
;3,29;5,12;9,99;13,15;;;
28;3,32;5,15;9,99;13,15;;;
;3,32;5,13;9,99;13,15;;;
;3,29;5,1;9,99;13,15;;;
;3,32;5,13;9,99;13,15;;;
;3,34;5,18;9,99;13,15;;;
;3,36;5,23;9,99;13,15;;;
;3,33;5,17;9,99;13,15;;;
;3,31;5,14;9,99;13,15;;;
;3,31;5,13;9,99;13,15;;;
;3,3;5,14;9,99;13,15;;;
;3,3;5,15;9,99;13,15;;;
;3,3;5,15;9,99;13,15;;;
;3,27;5,13;9,99;13,15;;;
;3,28;5,14;9,99;13,15;;;
;3,31;5,19;9,99;13,15;;;
;3,31;5,18;9,99;13,15;;;
;3,3;5,14;9,99;13,15;;;
;3,3;5,08;9,99;13,15;;;
28,5;3,27;5,11;9,99;13,15;;;
;3,3;5,15;9,99;13,15;;;
;3,28;5,1;9,99;13,15;;;
;3,25;5,03;9,99;13,15;;;
;3,24;5,02;9,99;13,15;;;
;3,24;5,03;9,99;13,15;;;
;3,24;5,01;9,99;13,15;;;
;3,25;5,02;9,99;13,15;;;
;3,25;5,03;9,99;13,15;;;
;3,19;4,99;9,99;13,15;;;
;3,21;4,99;9,99;13,15;;;
;3,21;4,97;9,99;13,15;;;
;3,19;4,96;9,99;13,15;;;
;3,2;5,01;9,99;13,15;;;
;3,2;4,99;9,99;13,15;;;
;3,18;4,98;9,99;13,15;;;
;3,14;4,94;9,99;13,15;;;
;3,12;4,91;9,99;13,15;;;
29;3,15;4,96;9,99;13,15;;;
;3,15;4,95;9,99;13,15;;;
;3,16;4,95;9,99;13,15;;;
;3,15;4,92;9,99;13,15;;;
;3,14;4,9;9,99;13,15;;;
;3,16;4,94;9,99;13,15;;;
;3,16;4,93;9,99;13,15;;;
;3,16;4,94;9,99;13,15;;;
;3,19;4,98;9,99;13,15;;;
;3,2;5;9,99;13,15;;;
;3,18;4,95;9,99;13,15;;;
;3,18;4,93;9,99;13,15;;;
;3,17;4,92;9,99;13,15;;;
;3,23;4,96;9,99;13,15;;;
;3,2;4,94;9,99;13,15;;;
;3,18;4,92;9,99;13,15;;;
;3,16;4,89;9,99;13,15;;;
;3,18;4,92;9,99;13,15;;;
29,5;3,18;4,92;9,99;13,15;;;
;3,18;4,92;9,99;13,15;;;
;3,17;4,9;9,99;13,15;;;
;3,22;4,94;9,99;13,15;;;
;3,18;4,89;9,99;13,15;;;
;3,18;4,89;9,99;13,15;;;
;3,17;4,87;9,99;13,15;;;
;3,18;4,92;9,99;13,15;;;
;3,19;4,91;9,99;13,15;;;
;3,21;4,96;9,99;13,15;;;
;3,23;4,97;9,99;13,15;;;
;3,24;4,96;9,99;13,15;;;
;3,22;4,96;9,99;13,15;;;
;3,19;4,9;9,99;13,15;;;
;3,21;4,95;9,99;13,15;;;
;3,22;4,99;9,99;13,15;;;
;3,22;4,96;9,99;13,15;;;
;3,21;4,93;9,99;13,15;;;
30;3,22;4,96;9,99;13,15;;;
;3,21;5,01;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,21;5,01;9,99;13,15;;;
;3,2;4,98;9,99;13,15;;;
;3,23;5,01;9,99;13,15;;;
;3,21;4,99;9,99;13,15;;;
;3,21;4,97;9,99;13,15;;;
;3,23;4,99;9,99;13,15;;;
;3,25;5,04;9,99;13,15;;;
;3,28;5,11;9,99;13,15;;;
;3,3;5,15;9,99;13,15;;;
;3,28;5,11;9,99;13,15;;;
;3,27;5,08;9,99;13,15;;;
;3,29;5,1;9,99;13,15;;;
;3,3;5,1;9,99;13,15;;;
;3,27;5,07;9,99;13,15;;;
;3,28;5,08;9,99;13,15;;;
30,5;3,29;5,12;9,99;13,15;;;
;3,26;5,09;9,99;13,15;;;
;3,25;5,09;9,99;13,15;;;
;3,24;5,08;9,99;13,15;;;
;3,26;5,09;9,99;13,15;;;
;3,27;5,12;9,99;13,15;;;
;3,27;5,1;9,99;13,15;;;
;3,26;5,11;9,99;13,15;;;
;3,24;5,04;9,99;13,15;;;
;3,25;5,08;9,99;13,15;;;
;3,28;5,12;9,99;13,15;;;
;3,26;5,1;9,99;13,15;;;
;3,26;5,1;9,99;13,15;;;
;3,28;5,11;9,99;13,15;;;
;3,31;5,12;9,99;13,15;;;
;3,32;5,14;9,99;13,15;;;
;3,32;5,15;9,99;13,15;;;
;3,27;5,07;9,99;13,15;;;
31;3,25;5,05;9,99;13,15;;;
;3,24;5,01;9,99;13,15;;;
;3,23;5,02;9,99;13,15;;;
;3,24;5,02;9,99;13,15;;;
;3,21;5;9,99;13,15;;;
;3,21;5;9,99;13,15;;;
;3,23;5,02;9,99;13,15;;;
;3,24;5,02;9,99;13,15;;;
;3,26;5,02;9,99;13,15;;;
;3,24;5,01;9,99;13,15;;;
;3,24;5,02;9,99;13,15;;;
;3,2;4,99;9,99;13,15;;;
;3,23;4,99;9,99;13,15;;;
;3,23;5,01;9,99;13,15;;;
;3,21;4,94;9,99;13,15;;;
;3,21;4,96;9,99;13,15;;;
;3,19;4,91;9,99;13,15;;;
;3,18;4,89;9,99;13,15;;;
31,5;3,18;4,94;9,99;13,15;;;
;3,18;4,95;9,99;13,15;;;
;3,18;4,94;9,99;13,15;;;
;3,2;4,96;9,99;13,15;;;
;3,2;5;9,99;13,15;;;
;3,18;4,97;9,99;13,15;;;
;3,21;5;9,99;13,15;;;
;3,19;4,98;9,99;13,15;;;
;3,18;5;9,99;13,15;;;
;3,18;4,98;9,99;13,15;;;
;3,2;5,02;9,99;13,15;;;
;3,2;5,03;9,99;13,15;;;
;3,22;4,99;9,99;13,15;;;
;3,21;4,98;9,99;13,15;;;
;3,2;4,97;9,99;13,15;;;
;3,2;4,97;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,16;4,91;9,99;13,15;;;
32;3,14;4,86;9,99;13,15;;;
;3,12;4,87;9,99;13,15;;;
;3,09;4,81;9,99;13,15;;;
;3,13;4,85;9,99;13,15;;;
;3,16;4,88;9,99;13,15;;;
;3,14;4,85;9,99;13,15;;;
;3,1;4,75;9,99;13,15;;;
;3,1;4,8;9,99;13,15;;;
;3,12;4,87;9,99;13,15;;;
;3,13;4,89;9,99;13,15;;;
;3,14;4,92;9,99;13,15;;;
;3,13;4,9;9,99;13,15;;;
;3,16;4,97;9,99;13,15;;;
;3,19;4,97;9,99;13,15;;;
;3,2;5,04;9,99;13,15;;;
;3,2;4,96;9,99;13,15;;;
;3,21;4,98;9,99;13,15;;;
;3,2;4,97;9,99;13,15;;;
32,5;3,19;4,98;9,99;13,15;;;
;3,18;4,99;9,99;13,15;;;
;3,19;5;9,99;13,15;;;
;3,19;4,98;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,14;4,93;9,99;13,15;;;
;3,14;4,93;9,99;13,15;;;
;3,18;4,94;9,99;13,15;;;
;3,19;4,96;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,18;4,92;9,99;13,15;;;
;3,16;4,93;9,99;13,15;;;
;3,16;4,94;9,99;13,15;;;
;3,21;5;9,99;13,15;;;
;3,19;5;9,99;13,15;;;
;3,15;4,93;9,99;13,15;;;
;3,17;4,96;9,99;13,15;;;
;3,13;4,92;9,99;13,15;;;
33;3,17;4,96;9,99;13,15;;;
;3,15;4,97;9,99;13,15;;;
;3,14;4,93;9,99;13,15;;;
;3,16;4,97;9,99;13,15;;;
;3,15;4,96;9,99;13,15;;;
;3,15;4,93;9,99;13,15;;;
;3,12;4,91;9,99;13,15;;;
;3,15;4,9;9,99;13,15;;;
;3,14;4,89;9,99;13,15;;;
;3,17;4,95;9,99;13,15;;;
;3,2;4,98;9,99;13,15;;;
;3,17;4,9;9,99;13,15;;;
;3,14;4,86;9,99;13,15;;;
;3,16;4,87;9,99;13,15;;;
;3,16;4,89;9,99;13,15;;;
;3,14;4,88;9,99;13,15;;;
;3,12;4,84;9,99;13,15;;;
;3,14;4,89;9,99;13,15;;;
33,5;3,14;4,87;9,99;13,15;;;
;3,09;4,84;9,99;13,15;;;
;3,11;4,86;9,99;13,15;;;
;3,1;4,84;9,99;13,15;;;
;3,09;4,83;9,99;13,15;;;
;3,06;4,78;9,99;13,15;;;
;3,08;4,8;9,99;13,15;;;
;3,09;4,81;9,99;13,15;;;
;3,13;4,87;9,99;13,15;;;
;3,1;4,83;9,99;13,15;;;
;3,1;4,83;9,99;13,15;;;
;3,1;4,82;9,99;13,15;;;
;3,09;4,82;9,99;13,15;;;
;3,14;4,88;9,99;13,15;;;
;3,18;4,91;9,99;13,15;;;
;3,16;4,89;9,99;13,15;;;
;3,19;4,94;9,99;13,15;;;
;3,19;4,95;9,99;13,15;;;
34;3,18;4,91;9,99;13,15;;;
;3,17;4,89;9,99;13,15;;;
;3,16;4,87;9,99;13,15;;;
;3,19;4,91;9,99;13,15;;;
;3,17;4,94;9,99;13,15;;;
;3,17;4,93;9,99;13,15;;;
;3,13;4,9;9,99;13,15;;;
;3,13;4,88;9,99;13,15;;;
;3,1;4,86;9,99;13,15;;;
;3,1;4,83;9,99;13,15;;;
;3,11;4,85;9,99;13,15;;;
;3,12;4,88;9,99;13,15;;;
;3,12;4,87;9,99;13,15;;;
;3,11;4,84;9,99;13,15;;;
;3,15;4,92;9,99;13,15;;;
;3,13;4,88;9,99;13,15;;;
;3,14;4,9;9,99;13,15;;;
;3,14;4,92;9,99;13,15;;;
34,5;3,12;4,88;9,99;13,15;;;
;3,13;4,94;9,99;13,15;;;
;3,13;4,91;9,99;13,15;;;
;3,12;4,87;9,99;13,15;;;
;3,11;4,85;9,99;13,15;;;
;3,11;4,87;9,99;13,15;;;
;3,12;4,89;9,99;13,15;;;
;3,11;4,9;9,99;13,15;;;
;3,14;4,89;9,99;13,15;;;
;3,11;4,85;9,99;13,15;;;
;3,13;4,87;9,99;13,15;;;
;3,16;4,93;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,19;4,99;9,99;13,15;;;
;3,23;5,03;9,99;13,15;;;
;3,2;5;9,99;13,15;;;
;3,22;5;9,99;13,15;;;
;3,23;4,99;9,99;13,15;;;
35;3,2;4,94;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,18;4,93;9,99;13,15;;;
;3,18;4,96;9,99;13,15;;;
;3,2;4,98;9,99;13,15;;;
;3,16;4,93;9,99;13,15;;;
;3,17;4,98;9,99;13,15;;;
;3,13;4,9;9,99;13,15;;;
;3,12;4,94;9,99;13,15;;;
;3,11;4,92;9,99;13,15;;;
;3,12;4,9;9,99;13,15;;;
;3,14;4,94;9,99;13,15;;;
;3,14;5;9,99;13,15;;;
;3,14;5,03;9,99;13,15;;;
;3,13;5;9,99;13,15;;;
;3,1;4,95;9,99;13,15;;;
;3,09;4,89;9,99;13,15;;;
;3,13;4,95;9,99;13,15;;;
35,5;3,12;4,93;9,99;13,15;;;
;3,1;4,94;9,99;13,15;;;
;3,08;4,9;9,99;13,15;;;
;3,07;4,87;9,99;13,15;;;
;3,07;4,88;9,99;13,15;;;
;3,1;4,88;9,99;13,15;;;
;3,05;4,82;9,99;13,15;;;
;3,05;4,82;9,99;13,15;;;
;3,02;4,79;9,99;13,15;;;
;3,04;4,82;9,99;13,15;;;
;3,06;4,8;9,99;13,15;;;
;3,07;4,81;9,99;13,15;;;
;3,05;4,77;9,99;13,15;;;
;3,01;4,7;9,99;13,15;;;
;3,01;4,68;9,99;13,15;;;
;3,02;4,68;9,99;13,15;;;
;3,02;4,7;9,99;13,15;;;
;3,06;4,75;9,99;13,15;;;
36;3,07;4,78;9,99;13,15;;;
;3,08;4,79;9,99;13,15;;;
;3,07;4,78;9,99;13,15;;;
;3,08;4,79;9,99;13,15;;;
;3,08;4,77;9,99;13,15;;;
;3,1;4,82;9,99;13,15;;;
;3,12;4,85;9,99;13,15;;;
;3,15;4,91;9,99;13,15;;;
;3,14;4,88;9,99;13,15;;;
;3,12;4,86;9,99;13,15;;;
;3,11;4,85;9,99;13,15;;;
;3,07;4,81;9,99;13,15;;;
;3,08;4,85;9,99;13,15;;;
;3,07;4,79;9,99;13,15;;;
;3,06;4,75;9,99;13,15;;;
;3,04;4,73;9,99;13,15;;;
;3,03;4,72;9,99;13,15;;;
;3,06;4,8;9,99;13,15;;;
36,5;3,01;4,7;9,99;13,15;;;
;3,03;4,73;9,99;13,15;;;
;3;4,72;9,99;13,15;;;
;2,99;4,72;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;2,99;4,71;9,99;13,15;;;
;3,01;4,71;9,99;13,15;;;
;3,01;4,71;9,99;13,15;;;
;3,02;4,7;9,99;13,15;;;
;3,03;4,75;9,99;13,15;;;
;3,03;4,75;9,99;13,15;;;
;3,05;4,76;9,99;13,15;;;
;3,06;4,76;9,99;13,15;;;
;3,04;4,74;9,99;13,15;;;
;3,06;4,75;9,99;13,15;;;
;3,05;4,73;9,99;13,15;;;
;3,06;4,74;9,99;13,15;;;
;3,04;4,75;9,99;13,15;;;
;3,07;4,78;9,99;13,15;;;
;3,07;4,79;9,99;13,15;;;
;3,08;4,86;9,99;13,15;;;
;3,05;4,82;9,99;13,15;;;
;3,03;4,79;9,99;13,15;;;
;3,05;4,8;9,99;13,15;;;
;3,03;4,79;9,99;13,15;;;
;3,05;4,84;9,99;13,15;;;
;3,06;4,81;9,99;13,15;;;
;3,05;4,79;9,99;13,15;;;
;3,04;4,79;9,99;13,15;;;
;3,04;4,81;9,99;13,15;;;
;3,02;4,77;9,99;13,15;;;
;3,05;4,78;9,99;13,15;;;
;3,04;4,78;9,99;13,15;;;
;3,05;4,81;9,99;13,15;;;
;3,04;4,81;9,99;13,15;;;
;3,02;4,8;9,99;13,15;;;
37,5;3,01;4,77;9,99;13,15;;;
;3,02;4,78;9,99;13,15;;;
;3;4,75;9,99;13,15;;;
;3;4,76;9,99;13,15;;;
;3;4,76;9,99;13,15;;;
;2,97;4,75;9,99;13,15;;;
;2,99;4,77;9,99;13,15;;;
;3;4,79;9,99;13,15;;;
;3,01;4,79;9,99;13,15;;;
;3,01;4,78;9,99;13,15;;;
;3;4,75;9,99;13,15;;;
;3;4,79;9,99;13,15;;;
;3,03;4,85;9,99;13,15;;;
;3,02;4,79;9,99;13,15;;;
;3,01;4,77;9,99;13,15;;;
;3,03;4,8;9,99;13,15;;;
;3,04;4,8;9,99;13,15;;;
;3,06;4,8;9,99;13,15;;;
38;3,03;4,76;9,99;13,15;;;
;3,01;4,76;9,99;13,15;;;
;3,01;4,76;9,99;13,15;;;
;2,96;4,72;9,99;13,15;;;
;2,94;4,66;9,99;13,15;;;
;2,96;4,64;9,99;13,15;;;
;3,04;4,77;9,99;13,15;;;
