Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;100000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,01;0,11;0,00;-nan;
;0,97;1,94;0,95;4,11;
;1,82;3,16;1,81;4,97;
;2,59;4,19;2,59;5,75;
;3,28;5,09;3,30;6,46;
;3,92;5,89;3,93;7,09;
;4,49;6,60;4,51;7,67;
;5,02;7,25;5,03;8,19;
;5,50;7,82;5,50;8,66;
;5,92;8,34;5,93;9,09;
;6,31;8,80;6,32;9,48;
;6,66;9,23;6,67;9,83;
;6,98;9,60;6,98;10,14;
;7,27;9,95;7,27;10,43;
;7,53;10,27;7,53;10,69;
;7,76;10,55;7,76;10,92;
;7,98;10,80;7,98;11,14;
;8,17;11,02;8,17;11,33;
0,50;8,34;11,22;8,34;11,50;
;8,50;11,41;8,50;11,66;
;8,64;11,57;8,64;11,80;
;8,76;11,72;8,77;11,93;
;8,88;11,86;8,89;12,04;
;8,98;11,99;8,99;12,15;
;9,07;12,08;9,09;12,25;
;9,16;12,17;9,17;12,33;
;9,24;12,27;9,25;12,41;
;9,31;12,35;9,32;12,48;
;9,38;12,43;9,38;12,54;
;9,43;12,50;9,44;12,60;
;9,50;12,59;9,49;12,65;
;9,55;12,65;9,54;12,70;
;9,60;12,70;9,58;12,74;
;9,63;12,74;9,62;12,78;
;9,66;12,77;9,66;12,82;
;9,70;12,80;9,69;12,85;
1,00;9,72;12,83;9,72;12,88;
;9,75;12,86;9,74;12,90;
;9,77;12,89;9,77;12,93;
;9,79;12,90;9,79;12,95;
;9,80;12,92;9,81;12,97;
;9,81;12,94;9,83;12,98;
;9,83;12,95;9,84;13,00;
;9,85;12,98;9,86;13,01;
;9,86;12,99;9,87;13,03;
;9,88;13,01;9,88;13,04;
;9,90;13,04;9,89;13,05;
;9,91;13,04;9,90;13,06;
;9,91;13,04;9,91;13,07;
;9,91;13,04;9,92;13,08;
;9,93;13,06;9,92;13,08;
;9,93;13,06;9,93;13,09;
;9,94;13,08;9,94;13,09;
;9,94;13,08;9,94;13,10;
1,50;9,94;13,08;9,95;13,10;
;9,94;13,09;9,95;13,11;
;9,93;13,09;9,95;13,11;
;9,94;13,08;9,96;13,12;
;9,94;13,09;9,96;13,12;
;9,95;13,09;9,96;13,12;
;9,95;13,09;9,97;13,12;
;9,96;13,09;9,97;13,13;
;9,97;13,10;9,97;13,13;
;9,98;13,11;9,97;13,13;
;9,98;13,11;9,97;13,13;
;9,99;13,12;9,98;13,13;
;9,99;13,12;9,98;13,14;
;9,98;13,12;9,98;13,14;
;9,99;13,13;9,98;13,14;
;9,99;13,14;9,98;13,14;
;9,99;13,14;9,98;13,14;
;9,98;13,14;9,98;13,14;
2,00;9,97;13,13;9,98;13,14;
;9,96;13,13;9,98;13,14;
;9,97;13,14;9,98;13,14;
;9,98;13,14;9,98;13,14;
;9,98;13,13;9,99;13,14;
;9,98;13,14;9,99;13,14;
;9,98;13,14;9,99;13,15;
;9,98;13,15;9,99;13,15;
;9,99;13,16;9,99;13,15;
;9,99;13,16;9,99;13,15;
;10,00;13,16;9,99;13,15;
;10,00;13,16;9,99;13,15;
;9,99;13,16;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,99;13,14;9,99;13,15;
;9,99;13,14;9,99;13,15;
;9,99;13,16;9,99;13,15;
;9,99;13,15;9,99;13,15;
2,50;9,99;13,15;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,96;13,13;9,99;13,15;
;9,96;13,13;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,97;13,14;9,99;13,15;
;9,98;13,15;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,99;13,13;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,96;13,11;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,96;13,11;9,99;13,15;
3,00;9,97;13,12;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,99;13,14;9,99;13,15;
;9,99;13,15;9,99;13,15;
;10,00;13,15;9,99;13,15;
;10,00;13,15;9,99;13,15;
;10,00;13,14;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,02;13,17;9,99;13,15;
;10,03;13,19;9,99;13,15;
;10,02;13,19;9,99;13,15;
;10,01;13,18;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,00;13,17;9,99;13,15;
;10,00;13,18;9,99;13,15;
;10,00;13,17;9,99;13,15;
3,50;9,99;13,16;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,99;13,15;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,02;13,18;9,99;13,15;
;10,02;13,18;9,99;13,15;
;10,01;13,16;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,01;13,16;9,99;13,15;
;10,00;13,16;9,99;13,15;
;9,99;13,16;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,97;13,12;9,99;13,15;
4,00;9,96;13,12;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,98;13,15;9,99;13,15;
;9,97;13,14;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,97;13,13;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,98;13,14;9,99;13,15;
;9,98;13,13;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,96;13,11;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,95;13,10;9,99;13,15;
