Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;Parameters:;
;2780,83;2820,95;3950,74;4000,4;;;;
;2791,25;2830,93;3958,95;4008,61;;;;
;2801,65;2840,86;3967,01;4016,67;;;;
;2811,45;2850,99;3974,93;4024,59;;;;
;2821,05;2860,14;3982,71;4032,37;;;;
;2830,71;2869,88;3990,35;4040,01;;;;
;2840,09;2879,24;3997,86;4047,51;;;;
;2850,09;2889,81;4005,23;4054,88;;;;
;2859,27;2899,46;4012,47;4062,13;;;;
;2869,16;2908,97;4019,58;4069,24;;;;
;2879,14;2918,93;4026,57;4076,23;;;;
;2888,16;2928,29;4033,43;4083,09;;;;
;2897,79;2937,72;4040,17;4089,83;;;;
;2907,49;2946,61;4046,8;4096,45;;;;
;2916,57;2955,56;4053,3;4102,96;;;;
;2925,82;2964,68;4059,69;4109,34;;;;
;2934,9;2973,87;4065,96;4115,62;;;;
;2944,22;2983,13;4072,13;4121,78;;;;
;2953,27;2992,62;4078,18;4127,84;;;;
;2962,62;3002,41;4084,13;4133,78;;;;
;2970,99;3010,79;4089,97;4139,63;;;;
;2980,61;3020,57;4095,71;4145,36;;;;
;2989,56;3029,13;4101,35;4151;;;;
;2998,18;3037,43;4106,88;4156,54;;;;
;3006,59;3045,84;4112,32;4161,97;;;;
;3014,77;3054,45;4117,66;4167,32;;;;
;3023,99;3063,49;4122,91;4172,56;;;;
;3032,66;3072,49;4128,06;4177,72;;;;
;3041,21;3081,49;4133,12;4182,78;;;;
;3049,4;3089,45;4138,1;4187,75;;;;
;3057,85;3097,99;4142,98;4192,64;;;;
;3066,64;3107,27;4147,78;4197,43;;;;
;3075,19;3115,41;4152,49;4202,15;;;;
;3083,28;3123,45;4157,12;4206,77;;;;
;3091,86;3131,9;4161,67;4211,32;;;;
;3100,33;3141,03;4166,13;4215,79;;;;
;3109,21;3149,95;4170,52;4220,17;;;;
;3117,14;3157,29;4174,83;4224,48;;;;
;3124,36;3164,27;4179,06;4228,72;;;;
;3132,37;3172,72;4183,22;4232,87;;;;
;3140,11;3180,84;4187,3;4236,96;;;;
;3147,78;3188,48;4191,31;4240,97;;;;
;3155,17;3195,72;4195,25;4244,91;;;;
;3163,37;3203,91;4199,12;4248,78;;;;
;3170,93;3211,98;4202,93;4252,58;;;;
;3178,55;3219,39;4206,66;4256,31;;;;
;3186,04;3226,89;4210,33;4259,98;;;;
;3194,04;3234,59;4213,93;4263,58;;;;
;3201,43;3242,42;4217,47;4267,12;;;;
;3208,66;3250,32;4220,95;4270,6;;;;
;3216,37;3257,75;4224,36;4274,01;;;;
;3223,92;3266,11;4227,71;4277,37;;;;
;3231,51;3273,64;4231,01;4280,66;;;;
;3238,35;3280,78;4234,24;4283,9;;;;
0,5;3245,38;3287,95;4237,42;4287,08;;;;
;3252,92;3295,8;4240,54;4290,2;;;;
;3260;3303,02;4243,61;4293,27;;;;
;3266,94;3310,11;4246,62;4296,28;;;;
;3274,21;3317,52;4249,58;4299,24;;;;
;3281,29;3324,31;4252,49;4302,14;;;;
;3288,59;3331,31;4255,34;4305;;;;
;3295,29;3338,06;4258,15;4307,8;;;;
;3302,19;3345;4260,9;4310,56;;;;
;3309,15;3351,84;4263,61;4313,26;;;;
;3315,61;3357,97;4266,27;4315,92;;;;
;3322,74;3364,92;4268,88;4318,53;;;;
;3329,27;3371,77;4271,44;4321,09;;;;
;3336,27;3379,17;4273,96;4323,61;;;;
;3343,2;3386,13;4276,43;4326,09;;;;
;3349,55;3392,29;4278,86;4328,52;;;;
;3355,69;3398,29;4281,25;4330,9;;;;
;3361,88;3404,79;4283,59;4333,25;;;;
;3368,48;3411,41;4285,9;4335,55;;;;
;3375,15;3417,85;4288,16;4337,81;;;;
;3381,24;3423,94;4290,38;4340,04;;;;
;3387,82;3430,3;4292,56;4342,22;;;;
;3393,86;3436,36;4294,71;4344,36;;;;
;3399,93;3442,73;4296,81;4346,47;;;;
;3405,93;3448,41;4298,88;4348,54;;;;
;3412,08;3454,47;4300,91;4350,57;;;;
;3417,72;3459,47;4302,91;4352,56;;;;
;3423,35;3465,31;4304,87;4354,52;;;;
;3429,26;3471,24;4306,8;4356,45;;;;
;3435,34;3477,38;4308,69;4358,34;;;;
;3441,59;3483,57;4310,54;4360,2;;;;
;3447,64;3489,64;4312,37;4362,02;;;;
;3453,65;3495,75;4314,16;4363,82;;;;
;3459,46;3501,25;4315,92;4365,58;;;;
;3465,65;3508,37;4317,65;4367,31;;;;
;3471,27;3514,14;4319,35;4369,01;;;;
;3476,84;3519,93;4321,02;4370,67;;;;
;3482,07;3525,46;4322,66;4372,31;;;;
;3488,1;3531,34;4324,27;4373,92;;;;
;3493,71;3536,8;4325,85;4375,5;;;;
;3499,59;3542,6;4327,4;4377,06;;;;
;3505,18;3548,14;4328,93;4378,58;;;;
;3510,67;3553,51;4330,43;4380,08;;;;
;3515,88;3558,7;4331,9;4381,55;;;;
;3521,16;3563,82;4333,35;4383;;;;
;3526,82;3569,5;4334,77;4384,42;;;;
;3532,08;3574,81;4336,16;4385,82;;;;
;3537,41;3579,99;4337,53;4387,19;;;;
;3542,84;3585,65;4338,88;4388,53;;;;
;3548,06;3590,81;4340,2;4389,85;;;;
;3553,22;3595,82;4341,5;4391,15;;;;
;3558,76;3601,52;4342,77;4392,43;;;;
;3563,76;3606,66;4344,03;4393,68;;;;
;3568,89;3611,72;4345,26;4394,91;;;;
;3574,16;3616,55;4346,47;4396,12;;;;
;3579,35;3621,46;4347,66;4397,31;;;;
;3584,22;3626,24;4348,82;4398,48;;;;
;3588,99;3630,81;4349,97;4399,62;;;;
;3594,03;3636,06;4351,09;4400,75;;;;
;3599,13;3641,35;4352,2;4401,85;;;;
;3603,81;3646,36;4353,28;4402,94;;;;
;3608,76;3650,99;4354,35;4404,01;;;;
;3613,85;3656,2;4355,4;4405,05;;;;
;3618,6;3660,71;4356,43;4406,08;;;;
;3623,35;3665,4;4357,44;4407,09;;;;
;3628,18;3670,27;4358,43;4408,09;;;;
;3632,47;3674,46;4359,41;4409,06;;;;
;3636,47;3678,45;4360,36;4410,02;;;;
;3640,79;3682,91;4361,31;4410,96;;;;
;3645,56;3687,5;4362,23;4411,88;;;;
;3649,9;3691,98;4363,14;4412,79;;;;
;3654,46;3696,78;4364,03;4413,68;;;;
;3658,61;3700,64;4364,91;4414,56;;;;
;3663,06;3705,44;4365,77;4415,42;;;;
;3667,57;3710,28;4366,61;4416,27;;;;
;3672,08;3714,79;4367,44;4417,1;;;;
;3676,5;3719,23;4368,26;4417,91;;;;
;3681;3723,95;4369,06;4418,71;;;;
;3685,15;3728,06;4369,85;4419,5;;;;
;3689,68;3732,52;4370,62;4420,27;;;;
;3693,92;3736,58;4371,38;4421,03;;;;
;3698,22;3741,15;4372,12;4421,78;;;;
;3702,4;3744,98;4372,86;4422,51;;;;
;3706,68;3749,73;4373,57;4423,23;;;;
;3710,85;3754,3;4374,28;4423,94;;;;
;3715,04;3758,47;4374,98;4424,63;;;;
;3718,95;3762,49;4375,66;4425,31;;;;
;3723,42;3767,19;4376,33;4425,98;;;;
;3727,72;3771,66;4376,98;4426,64;;;;
;3731,93;3775,66;4377,63;4427,29;;;;
;3736,01;3779,81;4378,27;4427,92;;;;
;3739,35;3783,57;4378,89;4428,54;;;;
;3742,8;3786,75;4379,5;4429,16;;;;
;3746,5;3790,52;4380,1;4429,76;;;;
;3750,68;3795,17;4380,69;4430,35;;;;
;3754,8;3799,18;4381,27;4430,93;;;;
;3758,72;3803,33;4381,84;4431,5;;;;
;3762,53;3807,13;4382,4;4432,06;;;;
;3766,39;3810,94;4382,95;4432,61;;;;
;3770,08;3814,69;4383,49;4433,15;;;;
;3773,9;3818,55;4384,03;4433,68;;;;
;3777,32;3821,9;4384,55;4434,2;;;;
;3781,15;3825,95;4385,06;4434,71;;;;
;3784,41;3829,34;4385,56;4435,22;;;;
;3788,05;3833,06;4386,06;4435,71;;;;
;3791,63;3836,37;4386,54;4436,2;;;;
;3795,2;3840,12;4387,02;4436,67;;;;
;3798,86;3843,83;4387,49;4437,14;;;;
;3802,32;3846,97;4387,95;4437,6;;;;
;3805,59;3850,43;4388,4;4438,05;;;;
;3809,27;3854,37;4388,84;4438,5;;;;
;3812,9;3857,94;4389,28;4438,93;;;;
;3816,34;3861,41;4389,7;4439,36;;;;
;3819,79;3864,79;4390,13;4439,78;;;;
;3822,89;3867,81;4390,54;4440,19;;;;
;3826,13;3870,77;4390,94;4440,6;;;;
;3829,63;3874,47;4391,34;4441;;;;
;3833,15;3877,86;4391,73;4441,39;;;;
;3836,52;3880,89;4392,12;4441,77;;;;
;3839,65;3884,16;4392,5;4442,15;;;;
;3842,89;3887,51;4392,87;4442,52;;;;
;3846,22;3891,13;4393,23;4442,89;;;;
;3849,5;3894,45;4393,59;4443,24;;;;
;3852,58;3897,54;4393,94;4443,6;;;;
;3855,71;3900,72;4394,29;4443,94;;;;
;3858,82;3903,48;4394,63;4444,28;;;;
;3861,93;3906,45;4394,96;4444,61;;;;
;3865,2;3909,52;4395,29;4444,94;;;;
;3868,31;3912,59;4395,61;4445,26;;;;
;3871,24;3915,46;4395,92;4445,58;;;;
;3874,42;3918,34;4396,23;4445,89;;;;
;3877,23;3921,42;4396,54;4446,19;;;;
;3880,37;3924,19;4396,84;4446,49;;;;
;3883,33;3926,99;4397,13;4446,79;;;;
;3886,34;3929,89;4397,42;4447,08;;;;
;3889,27;3932,77;4397,7;4447,36;;;;
;3891,99;3935,74;4397,98;4447,64;;;;
;3895,03;3938,8;4398,26;4447,91;;;;
;3897,97;3941,52;4398,53;4448,18;;;;
;3900,66;3944,2;4398,79;4448,44;;;;
;3903,5;3947,04;4399,05;4448,7;;;;
;3906,41;3950,06;4399,3;4448,96;;;;
;3909,05;3952,56;4399,55;4449,21;;;;
;3912,12;3955,52;4399,8;4449,45;;;;
;3914,81;3958,19;4400,04;4449,7;;;;
;3917,52;3961;4400,28;4449,93;;;;
;3920,19;3963,57;4400,51;4450,17;;;;
;3922,77;3966,27;4400,74;4450,39;;;;
;3925,26;3969,15;4400,96;4450,62;;;;
;3928,15;3972,27;4401,19;4450,84;;;;
;3931,07;3975,51;4401,4;4451,06;;;;
;3933,68;3978,16;4401,61;4451,27;;;;
;3936,35;3980,78;4401,82;4451,48;;;;
;3939,16;3983,51;4402,03;4451,68;;;;
;3941,63;3986,09;4402,23;4451,89;;;;
;3944,21;3988,38;4402,43;4452,08;;;;
;3946,55;3990,9;4402,62;4452,28;;;;
;3949,16;3993,49;4402,82;4452,47;;;;
;3951,72;3995,96;4403;4452,66;;;;
;3954,43;3998,43;4403,19;4452,84;;;;
;3957,22;4001,06;4403,37;4453,02;;;;
;3959,71;4003,57;4403,55;4453,2;;;;
;3962,03;4005,92;4403,72;4453,38;;;;
;3964,25;4007,88;4403,89;4453,55;;;;
;3966,62;4010,42;4404,06;4453,72;;;;
;3968,99;4012,62;4404,23;4453,88;;;;
;3971,57;4015,2;4404,39;4454,05;;;;
;3974,07;4017,64;4404,55;4454,21;;;;
;3976,53;4020,08;4404,71;4454,36;;;;
;3978,9;4022,71;4404,86;4454,52;;;;
;3981,29;4025,16;4405,01;4454,67;;;;
;3983,6;4027,27;4405,16;4454,82;;;;
;3985,74;4029,51;4405,31;4454,96;;;;
;3987,99;4031,65;4405,45;4455,11;;;;
;3990,33;4034,09;4405,59;4455,25;;;;
;3992,61;4036,63;4405,73;4455,39;;;;
;3994,95;4039,35;4405,87;4455,52;;;;
;3997,15;4041,62;4406;4455,66;;;;
;3999,32;4043,94;4406,13;4455,79;;;;
;4001,38;4045,92;4406,26;4455,92;;;;
1;4003,33;4047,82;4406,39;4456,05;;;;
;4005,5;4049,86;4406,51;4456,17;;;;
;4007,4;4051,87;4406,64;4456,29;;;;
;4009,56;4053,86;4406,76;4456,41;;;;
;4011,58;4055,56;4406,88;4456,53;;;;
;4013,75;4057,5;4406,99;4456,65;;;;
;4015,97;4059,66;4407,1;4456,76;;;;
;4018,13;4061,79;4407,22;4456,87;;;;
;4020,11;4063,84;4407,33;4456,98;;;;
;4022,27;4065,75;4407,43;4457,09;;;;
;4024,28;4067,91;4407,54;4457,2;;;;
;4026,31;4069,81;4407,64;4457,3;;;;
;4028,52;4072,03;4407,75;4457,4;;;;
;4030,68;4074,17;4407,85;4457,5;;;;
;4032,87;4076,39;4407,95;4457,6;;;;
;4034,9;4078,36;4408,04;4457,7;;;;
