Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;10000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
;9,94;13,14;9,99;13,15;
;9,88;13,09;9,99;13,15;
;9,90;13,11;9,99;13,15;
;9,90;13,06;9,99;13,15;
;9,89;13,03;9,99;13,15;
;9,91;13,06;9,99;13,15;
;9,91;13,05;9,99;13,15;
;9,94;13,11;9,99;13,15;
;9,95;13,12;9,99;13,15;
;9,95;13,14;9,99;13,15;
5,00;9,95;13,10;9,99;13,15;
;9,94;13,10;9,99;13,15;
;9,91;13,05;9,99;13,15;
;9,92;13,06;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,96;13,10;9,99;13,15;
;9,96;13,09;9,99;13,15;
;9,94;13,06;9,99;13,15;
;9,91;13,04;9,99;13,15;
;9,93;13,06;9,99;13,15;
;9,94;13,08;9,99;13,15;
;9,93;13,06;9,99;13,15;
;9,94;13,07;9,99;13,15;
;9,96;13,07;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,97;13,11;9,99;13,15;
;10,00;13,11;9,99;13,15;
;9,98;13,13;9,99;13,15;
5,50;9,98;13,13;9,99;13,15;
;10,02;13,17;9,99;13,15;
;10,01;13,14;9,99;13,15;
;10,02;13,14;9,99;13,15;
;10,03;13,16;9,99;13,15;
;10,02;13,16;9,99;13,15;
;9,99;13,15;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,97;13,11;9,99;13,15;
;9,94;13,08;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,94;13,12;9,99;13,15;
;9,93;13,10;9,99;13,15;
;9,94;13,12;9,99;13,15;
;9,98;13,11;9,99;13,15;
;9,98;13,13;9,99;13,15;
;10,00;13,15;9,99;13,15;
;9,98;13,13;9,99;13,15;
6,00;9,96;13,10;9,99;13,15;
;9,96;13,09;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,96;13,10;9,99;13,15;
;9,98;13,11;9,99;13,15;
