Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;;Parameters:;;;;;;
;9,99;13,17;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;9,99;13,15;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;10;13,16;9,99;13,15;;;;;;;;;;
;10;13,16;9,99;13,15;;;;;;;;;;
;9,99;13,15;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
;9,98;13,15;9,99;13,15;;;;;;;;;;
;9,98;13,14;9,99;13,15;;;;;;;;;;
;10;13,19;9,99;13,15;;;;;;;;;;
;9,99;13,17;9,99;13,15;;;;;;;;;;
3,5;9,99;13,19;9,99;13,15;;;;;;;;;;
;9,98;13,16;9,99;13,15;;;;;;;;;;
;10;13,18;9,99;13,15;;;;;;;;;;
;10;13,2;9,99;13,15;;;;;;;;;;
;10,02;13,21;9,99;13,15;;;;;;;;;;
;10,03;13,21;9,99;13,15;;;;;;;;;;
;10,03;13,21;9,99;13,15;;;;;;;;;;
;10,02;13,2;9,99;13,15;;;;;;;;;;
;10,03;13,24;9,99;13,15;;;;;;;;;;
;10,03;13,22;9,99;13,15;;;;;;;;;;
;10,01;13,2;9,99;13,15;;;;;;;;;;
;10;13,21;9,99;13,15;;;;;;;;;;
;9,99;13,17;9,99;13,15;;;;;;;;;;
;9,98;13,16;9,99;13,15;;;;;;;;;;
;9,97;13,16;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
4;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;10;13,18;9,99;13,15;;;;;;;;;;
;10;13,18;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
;9,99;13,17;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,12;9,99;13,15;;;;;;;;;;
;9,95;13,08;9,99;13,15;;;;;;;;;;
;9,93;13,06;9,99;13,15;;;;;;;;;;
;9,93;13,06;9,99;13,15;;;;;;;;;;
;9,92;13,07;9,99;13,15;;;;;;;;;;
;9,91;13,06;9,99;13,15;;;;;;;;;;
4,5;9,92;13,07;9,99;13,15;;;;;;;;;;
;9,92;13,09;9,99;13,15;;;;;;;;;;
;9,94;13,12;9,99;13,15;;;;;;;;;;
;9,94;13,1;9,99;13,15;;;;;;;;;;
;9,95;13,12;9,99;13,15;;;;;;;;;;
;9,97;13,12;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,95;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,15;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,95;13,11;9,99;13,15;;;;;;;;;;
;9,96;13,11;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,97;13,15;9,99;13,15;;;;;;;;;;
;9,99;13,17;9,99;13,15;;;;;;;;;;
5;9,99;13,14;9,99;13,15;;;;;;;;;;
;9,99;13,14;9,99;13,15;;;;;;;;;;
;9,96;13,09;9,99;13,15;;;;;;;;;;
;9,96;13,09;9,99;13,15;;;;;;;;;;
;9,99;13,12;9,99;13,15;;;;;;;;;;
;9,99;13,12;9,99;13,15;;;;;;;;;;
;9,98;13,11;9,99;13,15;;;;;;;;;;
;9,98;13,11;9,99;13,15;;;;;;;;;;
;9,97;13,1;9,99;13,15;;;;;;;;;;
;9,98;13,12;9,99;13,15;;;;;;;;;;
;9,97;13,11;9,99;13,15;;;;;;;;;;
;9,98;13,12;9,99;13,15;;;;;;;;;;
;9,97;13,12;9,99;13,15;;;;;;;;;;
;9,98;13,11;9,99;13,15;;;;;;;;;;
;9,97;13,11;9,99;13,15;;;;;;;;;;
;9,98;13,11;9,99;13,15;;;;;;;;;;
;9,99;13,1;9,99;13,15;;;;;;;;;;
;10;13,12;9,99;13,15;;;;;;;;;;
5,5;9,99;13,11;9,99;13,15;;;;;;;;;;
;10;13,13;9,99;13,15;;;;;;;;;;
;10;13,13;9,99;13,15;;;;;;;;;;
;10;13,14;9,99;13,15;;;;;;;;;;
;10;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,12;9,99;13,15;;;;;;;;;;
;9,98;13,15;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,98;13,15;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
;9,97;13,15;9,99;13,15;;;;;;;;;;
;9,97;13,15;9,99;13,15;;;;;;;;;;
;9,96;13,11;9,99;13,15;;;;;;;;;;
;9,99;13,12;9,99;13,15;;;;;;;;;;
;10;13,15;9,99;13,15;;;;;;;;;;
;10,02;13,19;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
6;9,98;13,13;9,99;13,15;;;;;;;;;;
;9,98;13,11;9,99;13,15;;;;;;;;;;
;9,97;13,11;9,99;13,15;;;;;;;;;;
;9,96;13,11;9,99;13,15;;;;;;;;;;
;9,97;13,11;9,99;13,15;;;;;;;;;;
;9,95;13,09;9,99;13,15;;;;;;;;;;
;9,97;13,12;9,99;13,15;;;;;;;;;;
;9,96;13,1;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,12;9,99;13,15;;;;;;;;;;
;9,96;13,12;9,99;13,15;;;;;;;;;;
;9,96;13,12;9,99;13,15;;;;;;;;;;
;9,97;13,13;9,99;13,15;;;;;;;;;;
;9,97;13,14;9,99;13,15;;;;;;;;;;
;9,98;13,15;9,99;13,15;;;;;;;;;;
;10;13,16;9,99;13,15;;;;;;;;;;
;10,03;13,2;9,99;13,15;;;;;;;;;;
;10,04;13,22;9,99;13,15;;;;;;;;;;
6,5;10,04;13,21;9,99;13,15;;;;;;;;;;
;10,05;13,23;9,99;13,15;;;;;;;;;;
;10,05;13,23;9,99;13,15;;;;;;;;;;
;10,04;13,22;9,99;13,15;;;;;;;;;;
;10,03;13,22;9,99;13,15;;;;;;;;;;
;10,02;13,22;9,99;13,15;;;;;;;;;;
;10,02;13,19;9,99;13,15;;;;;;;;;;
;10;13,19;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;9,99;13,14;9,99;13,15;;;;;;;;;;
;9,98;13,12;9,99;13,15;;;;;;;;;;
;10;13,14;9,99;13,15;;;;;;;;;;
;9,98;13,12;9,99;13,15;;;;;;;;;;
;9,99;13,14;9,99;13,15;;;;;;;;;;
;10;13,17;9,99;13,15;;;;;;;;;;
;9,99;13,16;9,99;13,15;;;;;;;;;;
