Parameters:
Lambda_f;0.0039
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);150
Number of experiments;1000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);
;14,26;17,58;
8,50;14,25;17,47;
;14,29;17,64;
;14,14;17,45;
;14,18;17,39;
;14,17;17,62;
;14,06;17,69;
;14,24;17,75;
;14,13;17,59;
;14,26;17,92;
;14,30;17,70;
;14,08;17,84;
;13,94;17,53;
;13,77;17,31;
;13,63;17,17;
;13,66;17,13;
;13,50;17,19;
;13,70;17,48;
;13,69;17,42;
9,00;13,64;17,47;
;13,86;17,34;
;14,04;17,53;
;14,55;18,08;
;14,39;17,81;
;14,55;18,00;
;14,43;17,91;
;14,26;17,57;
;14,09;17,38;
;14,17;17,53;
;14,15;17,50;
;14,18;17,59;
;14,03;17,60;
;13,97;17,60;
;13,91;17,72;
;13,82;17,37;
;13,67;17,11;
;13,84;17,42;
9,50;14,14;17,91;
;14,02;17,60;
;13,97;17,76;
;13,96;17,50;
;13,82;17,40;
;13,82;17,58;
;13,94;17,51;
;13,91;17,35;
;13,90;17,27;
;13,82;17,58;
;13,89;17,64;
;13,93;17,50;
;13,84;17,35;
;13,77;17,11;
;13,66;17,22;
;13,58;17,14;
;13,54;17,39;
;13,35;17,07;
10,00;13,57;17,38;
;13,50;17,27;
;13,56;17,46;
;13,63;17,41;
;13,56;17,35;
;13,53;17,18;
;13,38;17,04;
;13,41;17,04;
;13,46;17,13;
;13,63;17,49;
;13,68;17,59;
;13,50;17,30;
;13,46;17,05;
;13,54;17,05;
;13,41;17,02;
;13,27;16,88;
;13,23;16,99;
;13,14;16,94;
;13,05;16,88;
;13,12;16,90;
;13,21;16,86;
;13,06;16,51;
;13,03;16,47;
;13,00;16,29;
;12,84;16,19;
;12,81;16,18;
;12,75;16,29;
;13,10;16,58;
;13,10;16,69;
;13,09;16,53;
;12,86;16,11;
;12,87;16,35;
;13,02;16,75;
;12,86;16,64;
;13,02;16,81;
;13,22;17,12;
11,00;12,98;16,86;
;12,94;16,69;
;12,98;16,72;
;13,17;16,90;
;13,13;17,06;
;13,22;16,89;
;13,54;17,44;
;13,59;17,41;
;13,51;17,25;
;13,65;17,52;
;13,70;17,73;
;13,86;17,68;
;13,81;17,59;
;13,53;17,19;
;13,54;17,27;
;13,23;16,92;
;13,14;16,72;
;13,00;16,54;
11,50;13,15;16,80;
;13,09;16,79;
;13,10;16,63;
;13,33;16,89;
;13,40;17,21;
;13,30;17,25;
;13,23;17,06;
;13,47;17,39;
;13,35;17,15;
;13,10;16,89;
;13,26;17,10;
;13,34;16,94;
;13,34;17,10;
;13,46;17,52;
;13,45;17,51;
;13,39;17,52;
;13,26;17,18;
;13,38;16,96;
12,00;13,34;16,98;
;13,48;16,97;
;13,57;17,04;
;13,57;17,11;
;13,38;17,02;
;13,32;17,09;
;13,30;17,25;
;13,28;17,28;
;13,06;16,86;
;12,97;16,62;
;12,94;16,69;
;13,18;16,97;
;13,21;16,99;
;13,31;17,13;
;13,52;17,16;
;13,46;17,03;
;13,60;17,17;
;13,68;17,18;
12,50;13,65;17,19;
;13,71;17,29;
;14,02;17,81;
;13,95;17,77;
;13,99;17,74;
;13,99;17,68;
;14,04;17,54;
;13,96;17,51;
;13,94;17,57;
;13,90;17,61;
;13,74;17,40;
;13,93;17,60;
;13,94;17,56;
;13,72;17,53;
;13,72;17,35;
;13,89;17,57;
;13,78;17,30;
;13,65;17,10;
13,00;13,39;16,87;
;13,29;16,96;
;13,31;16,84;
;13,38;16,94;
;13,06;16,59;
;13,01;16,49;
;13,02;16,56;
;12,85;16,37;
;12,99;16,76;
;13,07;16,71;
;13,01;16,67;
;13,41;17,22;
;13,28;17,11;
;13,15;16,84;
;13,12;16,74;
;13,10;16,66;
;13,09;16,72;
;12,94;16,48;
13,50;12,79;16,46;
;12,86;16,53;
;12,80;16,55;
;12,79;16,15;
;12,80;16,00;
;12,80;16,04;
;12,58;15,85;
;12,77;16,29;
;12,85;16,15;
;12,89;16,33;
;12,98;16,50;
;12,90;16,33;
;12,94;16,45;
;12,98;16,34;
;12,78;16,13;
;12,78;15,99;
;12,82;15,88;
;12,93;16,03;
14,00;12,96;16,16;
;12,92;16,23;
;12,78;16,41;
;12,58;16,07;
;12,61;16,13;
;12,77;16,26;
;12,86;16,43;
;12,61;16,35;
;12,57;16,35;
;12,60;16,20;
;12,56;16,04;
;12,47;16,13;
;12,50;16,15;
;12,60;16,07;
;12,68;16,21;
;12,69;16,32;
;12,80;16,46;
;12,83;16,54;
14,50;12,54;16,16;
;12,46;15,80;
;12,44;15,86;
;12,66;16,11;
;12,69;16,13;
;12,73;16,17;
;12,85;16,34;
;12,88;16,35;
;12,84;16,17;
;13,20;16,82;
;13,38;17,06;
;13,18;16,98;
;12,89;16,60;
;13,11;16,85;
;13,12;16,90;
