;;;;;;;S;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;;;;
0;0,06;0,29;0;nan;;;;;;
;1,97;3,34;0,95;4,11;;;;;;
;3,06;4,77;1,81;4,97;;;;;;
;3,96;5,91;2,59;5,75;;;;;Parameters:;
;4,75;6,89;3,3;6,46;;;;;Lambda_f;0.001
;5,35;7,63;3,93;7,09;;;;;Beta_f;0.78
;5,91;8,39;4,51;7,67;;;;;Initial N;10000
;6,43;9,1;5,03;8,19;;;;;Delta t;0.001
;6,8;9,52;5,5;8,66;;;;;T (time steps);25.фев
;7,08;9,81;5,93;9,09;;;;;Number of experiments;1000
;7,4;10,14;6,32;9,48;;;;;Nu;1
;7,58;10,37;6,67;9,83;;;;;;
;7,69;10,53;6,98;10,14;;;;;;
;7,84;10,72;7,27;10,43;;;;;;
;8,04;10,97;7,53;10,69;;;;;;
;8,12;10,96;7,76;10,92;;;;;;
;8,14;10,94;7,98;11,14;;;;;;
;8,17;10,94;8,17;11,33;;;;;;
0,5;8,21;11,06;8,34;11,5;;;;;;
;8,11;10,9;8,5;11,66;;;;;;
;8,18;11,04;8,64;11,8;;;;;;
;8,22;11,1;8,77;11,93;;;;;;
;8,21;11,1;8,89;12,04;;;;;;
;8,21;11,07;8,99;12,15;;;;;;
;8,15;11;9,09;12,25;;;;;;
;8,06;10,9;9,17;12,33;;;;;;
;8,04;10,87;9,25;12,41;;;;;;
;7,92;10,71;9,32;12,48;;;;;;
;7,89;10,64;9,38;12,54;;;;;;
;7,82;10,52;9,44;12,6;;;;;;
;7,81;10,51;9,49;12,65;;;;;;
;7,86;10,68;9,54;12,7;;;;;;
;7,88;10,72;9,58;12,74;;;;;;
;7,88;10,73;9,62;12,78;;;;;;
;7,86;10,71;9,66;12,82;;;;;;
;7,81;10,63;9,69;12,85;;;;;;
1;7,76;10,54;9,72;12,88;;;;;;
;7,65;10,38;9,74;12,9;;;;;;
;7,62;10,4;9,77;12,93;;;;;;
;7,54;10,28;9,79;12,95;;;;;;
;7,39;10,14;9,81;12,97;;;;;;
;7,36;10,1;9,83;12,98;;;;;;
;7,34;10,08;9,84;13;;;;;;
;7,25;9,96;9,86;13,01;;;;;;
;7,21;9,93;9,87;13,03;;;;;;
;7,1;9,8;9,88;13,04;;;;;;
;7,05;9,7;9,89;13,05;;;;;;
;7,05;9,71;9,9;13,06;;;;;;
;7,01;9,66;9,91;13,07;;;;;;
;7;9,66;9,92;13,08;;;;;;
;6,91;9,59;9,92;13,08;;;;;;
;6,93;9,6;9,93;13,09;;;;;;
;6,96;9,61;9,94;13,09;;;;;;
;6,88;9,52;9,94;13,1;;;;;;
1,5;6,85;9,46;9,95;13,1;;;;;;
;6,84;9,44;9,95;13,11;;;;;;
;6,75;9,3;9,95;13,11;;;;;;
;6,72;9,26;9,96;13,12;;;;;;
;6,73;9,26;9,96;13,12;;;;;;
;6,64;9,13;9,96;13,12;;;;;;
;6,6;9,1;9,97;13,12;;;;;;
;6,59;9,08;9,97;13,13;;;;;;
;6,56;9,05;9,97;13,13;;;;;;
;6,5;9;9,97;13,13;;;;;;
;6,49;9,01;9,97;13,13;;;;;;
;6,53;9,02;9,98;13,13;;;;;;
;6,51;8,99;9,98;13,14;;;;;;
;6,49;9,01;9,98;13,14;;;;;;
;6,5;9,07;9,98;13,14;;;;;;
;6,42;8,94;9,98;13,14;;;;;;
;6,36;8,9;9,98;13,14;;;;;;
;6,31;8,87;9,98;13,14;;;;;;
2;6,27;8,79;9,98;13,14;;;;;;
;6,29;8,81;9,98;13,14;;;;;;
;6,29;8,79;9,98;13,14;;;;;;
;6,25;8,7;9,98;13,14;;;;;;
;6,28;8,74;9,99;13,14;;;;;;
;6,26;8,71;9,99;13,14;;;;;;
;6,23;8,68;9,99;13,15;;;;;;
;6,24;8,67;9,99;13,15;;;;;;
;6,23;8,68;9,99;13,15;;;;;;
;6,27;8,71;9,99;13,15;;;;;;
;6,22;8,64;9,99;13,15;;;;;;
;6,22;8,64;9,99;13,15;;;;;;
;6,17;8,59;9,99;13,15;;;;;;
;6,17;8,62;9,99;13,15;;;;;;
;6,15;8,6;9,99;13,15;;;;;;
;6,16;8,63;9,99;13,15;;;;;;
;6,1;8,51;9,99;13,15;;;;;;
;6,08;8,48;9,99;13,15;;;;;;
2,5;6,01;8,41;9,99;13,15;;;;;;
;5,97;8,33;9,99;13,15;;;;;;
;5,89;8,23;9,99;13,15;;;;;;
;5,87;8,27;9,99;13,15;;;;;;
;5,88;8,27;9,99;13,15;;;;;;
;5,85;8,27;9,99;13,15;;;;;;
;5,86;8,3;9,99;13,15;;;;;;
;5,85;8,29;9,99;13,15;;;;;;
;5,86;8,3;9,99;13,15;;;;;;
;5,87;8,32;9,99;13,15;;;;;;
;5,82;8,27;9,99;13,15;;;;;;
;5,76;8,21;9,99;13,15;;;;;;
;5,77;8,21;9,99;13,15;;;;;;
;5,81;8,23;9,99;13,15;;;;;;
;5,82;8,22;9,99;13,15;;;;;;
;5,82;8,25;9,99;13,15;;;;;;
;5,84;8,23;9,99;13,15;;;;;;
;5,86;8,28;9,99;13,15;;;;;;
3;5,78;8,19;9,99;13,15;;;;;;
;5,81;8,22;9,99;13,15;;;;;;
;5,77;8,19;9,99;13,15;;;;;;
;5,72;8,13;9,99;13,15;;;;;;
;5,72;8,13;9,99;13,15;;;;;;
;5,67;8,07;9,99;13,15;;;;;;
;5,62;8,02;9,99;13,15;;;;;;
;5,57;7,95;9,99;13,15;;;;;;
;5,57;7,94;9,99;13,15;;;;;;
;5,6;7,99;9,99;13,15;;;;;;
;5,66;8,09;9,99;13,15;;;;;;
;5,65;8,08;9,99;13,15;;;;;;
;5,69;8,11;9,99;13,15;;;;;;
;5,7;8,11;9,99;13,15;;;;;;
;5,68;8,07;9,99;13,15;;;;;;
;5,68;8,08;9,99;13,15;;;;;;
;5,64;8,03;9,99;13,15;;;;;;
;5,6;7,99;9,99;13,15;;;;;;
3,5;5,57;7,91;9,99;13,15;;;;;;
;5,58;7,94;9,99;13,15;;;;;;
;5,54;7,85;9,99;13,15;;;;;;
;5,53;7,82;9,99;13,15;;;;;;
;5,48;7,76;9,99;13,15;;;;;;
;5,51;7,85;9,99;13,15;;;;;;
;5,47;7,77;9,99;13,15;;;;;;
;5,43;7,65;9,99;13,15;;;;;;
;5,4;7,58;9,99;13,15;;;;;;
;5,39;7,58;9,99;13,15;;;;;;
;5,37;7,55;9,99;13,15;;;;;;
;5,32;7,55;9,99;13,15;;;;;;
;5,32;7,55;9,99;13,15;;;;;;
;5,32;7,53;9,99;13,15;;;;;;
;5,3;7,55;9,99;13,15;;;;;;
;5,36;7,58;9,99;13,15;;;;;;
;5,38;7,63;9,99;13,15;;;;;;
;5,35;7,61;9,99;13,15;;;;;;
4;5,28;7,53;9,99;13,15;;;;;;
;5,27;7,54;9,99;13,15;;;;;;
;5,3;7,56;9,99;13,15;;;;;;
;5,34;7,62;9,99;13,15;;;;;;
;5,3;7,56;9,99;13,15;;;;;;
;5,29;7,53;9,99;13,15;;;;;;
;5,29;7,51;9,99;13,15;;;;;;
;5,28;7,52;9,99;13,15;;;;;;
;5,32;7,58;9,99;13,15;;;;;;
;5,33;7,61;9,99;13,15;;;;;;
;5,3;7,58;9,99;13,15;;;;;;
;5,33;7,63;9,99;13,15;;;;;;
;5,32;7,63;9,99;13,15;;;;;;
;5,29;7,54;9,99;13,15;;;;;;
;5,32;7,6;9,99;13,15;;;;;;
;5,35;7,65;9,99;13,15;;;;;;
;5,28;7,55;9,99;13,15;;;;;;
;5,3;7,6;9,99;13,15;;;;;;
4,5;5,24;7,51;9,99;13,15;;;;;;
;5,21;7,5;9,99;13,15;;;;;;
;5,22;7,54;9,99;13,15;;;;;;
;5,23;7,54;9,99;13,15;;;;;;
;5,24;7,53;9,99;13,15;;;;;;
;5,18;7,45;9,99;13,15;;;;;;
;5,2;7,49;9,99;13,15;;;;;;
;5,17;7,47;9,99;13,15;;;;;;
;5,16;7,44;9,99;13,15;;;;;;
;5,21;7,48;9,99;13,15;;;;;;
;5,21;7,49;9,99;13,15;;;;;;
;5,19;7,45;9,99;13,15;;;;;;
;5,18;7,46;9,99;13,15;;;;;;
;5,22;7,49;9,99;13,15;;;;;;
;5,2;7,46;9,99;13,15;;;;;;
;5,19;7,43;9,99;13,15;;;;;;
;5,19;7,5;9,99;13,15;;;;;;
;5,15;7,44;9,99;13,15;;;;;;
5;5,1;7,45;9,99;13,15;;;;;;
;5,15;7,47;9,99;13,15;;;;;;
;5,13;7,45;9,99;13,15;;;;;;
;5,11;7,42;9,99;13,15;;;;;;
;5,09;7,34;9,99;13,15;;;;;;
;5,13;7,38;9,99;13,15;;;;;;
;5,14;7,42;9,99;13,15;;;;;;
;5,11;7,35;9,99;13,15;;;;;;
;5,1;7,36;9,99;13,15;;;;;;
;5,09;7,35;9,99;13,15;;;;;;
;5,14;7,43;9,99;13,15;;;;;;
;5,09;7,33;9,99;13,15;;;;;;
;5,09;7,3;9,99;13,15;;;;;;
;5,08;7,33;9,99;13,15;;;;;;
;5,11;7,35;9,99;13,15;;;;;;
;5,08;7,29;9,99;13,15;;;;;;
;5,07;7,22;9,99;13,15;;;;;;
;5,09;7,28;9,99;13,15;;;;;;
5,5;5,1;7,3;9,99;13,15;;;;;;
;5,15;7,44;9,99;13,15;;;;;;
;5,1;7,43;9,99;13,15;;;;;;
;5,08;7,4;9,99;13,15;;;;;;
;5,05;7,36;9,99;13,15;;;;;;
;5,08;7,37;9,99;13,15;;;;;;
;5,02;7,32;9,99;13,15;;;;;;
;5,02;7,3;9,99;13,15;;;;;;
;4,99;7,28;9,99;13,15;;;;;;
;4,94;7,19;9,99;13,15;;;;;;
;4,97;7,25;9,99;13,15;;;;;;
;4,95;7,2;9,99;13,15;;;;;;
;4,95;7,17;9,99;13,15;;;;;;
;4,94;7,13;9,99;13,15;;;;;;
;4,9;7,11;9,99;13,15;;;;;;
;4,82;7,03;9,99;13,15;;;;;;
;4,82;7,01;9,99;13,15;;;;;;
;4,82;7,02;9,99;13,15;;;;;;
6;4,85;7,04;9,99;13,15;;;;;;
;4,86;7,08;9,99;13,15;;;;;;
;4,81;7;9,99;13,15;;;;;;
;4,9;7,12;9,99;13,15;;;;;;
;4,87;7,13;9,99;13,15;;;;;;
;4,85;7,11;9,99;13,15;;;;;;
;4,84;7,09;9,99;13,15;;;;;;
;4,85;7,07;9,99;13,15;;;;;;
;4,84;7,09;9,99;13,15;;;;;;
;4,87;7,11;9,99;13,15;;;;;;
;4,89;7,17;9,99;13,15;;;;;;
;4,86;7,12;9,99;13,15;;;;;;
;4,85;7,1;9,99;13,15;;;;;;
;4,85;7,07;9,99;13,15;;;;;;
;4,89;7,15;9,99;13,15;;;;;;
;4,89;7,16;9,99;13,15;;;;;;
;4,84;7,1;9,99;13,15;;;;;;
;4,86;7,14;9,99;13,15;;;;;;
6,5;4,8;7,07;9,99;13,15;;;;;;
;4,75;6,99;9,99;13,15;;;;;;
;4,76;7,03;9,99;13,15;;;;;;
;4,77;7,03;9,99;13,15;;;;;;
;4,75;6,99;9,99;13,15;;;;;;
;4,8;7,05;9,99;13,15;;;;;;
;4,81;7,03;9,99;13,15;;;;;;
;4,78;7,03;9,99;13,15;;;;;;
;4,75;6,99;9,99;13,15;;;;;;
;4,75;7;9,99;13,15;;;;;;
;4,74;6,97;9,99;13,15;;;;;;
;4,71;6,95;9,99;13,15;;;;;;
;4,72;6,98;9,99;13,15;;;;;;
;4,72;6,94;9,99;13,15;;;;;;
;4,69;6,91;9,99;13,15;;;;;;
;4,71;6,98;9,99;13,15;;;;;;
;4,68;6,91;9,99;13,15;;;;;;
;4,67;6,87;9,99;13,15;;;;;;
