Parameters:
Lambda_f;0.001154
Beta_f;0.78
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;1000
Nu;0

Time;FailureMean;FailureMean+Sqrt(Var);
0,00;0,06;0,28;
;1,97;3,35;
;3,27;5,05;
;4,49;6,56;
;5,65;7,96;
;6,71;9,22;
;7,77;10,51;
;8,79;11,77;
;9,77;12,89;
;10,68;13,94;
;11,67;15,08;
;12,53;16,09;
;13,37;17,07;
;14,23;18,10;
;15,10;19,06;
;15,95;20,00;
;16,73;20,88;
;17,56;21,78;
0,50;18,35;22,67;
;19,06;23,50;
;19,88;24,44;
;20,64;25,28;
;21,37;26,08;
;22,10;26,92;
;22,80;27,69;
;23,50;28,47;
;24,23;29,26;
;24,92;30,00;
;25,61;30,76;
;26,28;31,45;
;27,00;32,22;
;27,74;33,09;
;28,47;33,90;
;29,15;34,72;
;29,88;35,45;
;30,55;36,22;
1,00;31,19;37,00;
;31,86;37,75;
;32,56;38,58;
;33,20;39,29;
;33,83;39,93;
;34,51;40,68;
;35,12;41,34;
;35,73;42,00;
;36,36;42,68;
;36,98;43,38;
;37,62;44,07;
;38,29;44,83;
;38,89;45,48;
;39,55;46,20;
;40,13;46,86;
;40,78;47,57;
;41,42;48,26;
;42,03;48,92;
1,50;42,66;49,63;
;43,28;50,32;
;43,88;50,90;
;44,47;51,52;
;45,09;52,18;
;45,67;52,81;
;46,27;53,42;
;46,87;54,02;
;47,43;54,60;
;48,02;55,19;
;48,63;55,86;
;49,29;56,54;
;49,91;57,19;
;50,50;57,87;
;51,12;58,55;
;51,67;59,16;
;52,23;59,79;
;52,78;60,42;
2,00;53,33;60,98;
;53,93;61,64;
;54,52;62,21;
;55,06;62,77;
;55,65;63,36;
;56,19;63,97;
;56,74;64,58;
;57,32;65,17;
;57,82;65,70;
;58,42;66,36;
;58,97;66,91;
;59,55;67,57;
;60,09;68,10;
;60,63;68,66;
;61,18;69,24;
;61,75;69,86;
;62,28;70,40;
;62,82;70,98;
2,50;63,33;71,55;
;63,85;72,09;
;64,37;72,63;
;64,89;73,19;
;65,45;73,79;
;65,97;74,32;
;66,50;74,86;
;67,03;75,46;
;67,57;76,03;
;68,09;76,58;
;68,60;77,12;
;69,10;77,64;
;69,66;78,25;
;70,20;78,85;
;70,75;79,47;
;71,27;80,00;
;71,80;80,57;
;72,30;81,13;
3,00;72,76;81,65;
;73,29;82,24;
;73,78;82,79;
;74,28;83,36;
;74,81;83,94;
;75,32;84,50;
;75,82;85,03;
;76,34;85,55;
;76,88;86,12;
;77,40;86,63;
;77,95;87,19;
;78,47;87,71;
;78,99;88,23;
;79,49;88,71;
;79,95;89,21;
;80,44;89,72;
;80,95;90,30;
;81,45;90,82;
3,50;81,97;91,37;
;82,49;91,88;
;82,99;92,43;
;83,50;92,94;
;83,97;93,41;
;84,51;93,99;
;85,00;94,52;
;85,48;95,05;
;85,95;95,57;
;86,43;96,12;
;86,89;96,59;
;87,34;97,09;
;87,83;97,62;
;88,34;98,16;
;88,83;98,66;
;89,35;99,23;
;89,85;99,76;
;90,35;100,27;
4,00;90,81;100,77;
;91,28;101,30;
;91,74;101,74;
;92,28;102,31;
;92,78;102,83;
;93,26;103,35;
;93,74;103,85;
;94,24;104,38;
;94,72;104,86;
;95,22;105,41;
;95,68;105,93;
;96,16;106,41;
;96,61;106,87;
;97,10;107,37;
;97,60;107,93;
;98,10;108,45;
;98,51;108,85;
;99,02;109,39;
4,50;99,49;109,91;
;99,98;110,42;
;100,46;110,89;
;100,93;111,35;
;101,42;111,85;
;101,84;112,29;
;102,33;112,80;
;102,78;113,24;
;103,25;113,73;
;103,74;114,28;
;104,19;114,75;
;104,64;115,24;
;105,12;115,68;
;105,63;116,22;
;106,07;116,68;
;106,54;117,16;
;107,02;117,66;
;107,45;118,08;
5,00;107,89;118,56;
;108,37;119,06;
;108,83;119,52;
;109,28;119,97;
;109,74;120,46;
;110,24;120,99;
;110,74;121,51;
;111,19;121,96;
;111,64;122,40;
;112,09;122,88;
;112,57;123,45;
;112,99;123,85;
;113,47;124,36;
;113,91;124,78;
;114,42;125,31;
;114,87;125,77;
;115,33;126,27;
;115,78;126,74;
5,50;116,25;127,20;
;116,72;127,73;
;117,18;128,20;
;117,62;128,65;
;118,06;129,11;
;118,53;129,60;
;118,94;130,04;
;119,38;130,50;
;119,83;130,96;
;120,23;131,35;
;120,68;131,83;
;121,15;132,31;
;121,59;132,75;
;122,01;133,20;
;122,45;133,68;
;122,85;134,12;
;123,29;134,56;
;123,73;135,04;
6,00;124,18;135,53;
;124,64;136,02;
;125,05;136,47;
;125,53;136,94;
;125,92;137,35;
;126,33;137,81;
;126,77;138,28;
;127,20;138,68;
;127,63;139,14;
;128,08;139,57;
;128,53;140,06;
;128,96;140,50;
;129,41;140,95;
;129,83;141,38;
;130,29;141,86;
;130,73;142,33;
;131,14;142,75;
;131,58;143,19;
6,50;132,00;143,63;
;132,42;144,09;
;132,85;144,54;
;133,29;144,99;
;133,69;145,43;
;134,19;145,93;
;134,64;146,35;
;135,05;146,78;
;135,46;147,23;
;135,87;147,63;
;136,27;148,05;
;136,66;148,47;
;137,10;148,92;
;137,54;149,35;
;137,95;149,76;
;138,36;150,18;
;138,75;150,58;
;139,14;150,95;
