Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;100
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;0,00;0,00;0,00;nan;
;1,01;2,14;0,95;4,11;
;1,74;2,99;1,81;4,97;
;2,47;3,98;2,59;5,75;
;3,23;5,03;3,30;6,46;
;3,79;5,74;3,93;7,09;
;4,35;6,57;4,51;7,67;
;4,95;7,46;5,03;8,19;
;5,51;8,08;5,50;8,66;
;5,95;8,55;5,93;9,09;
;6,35;8,95;6,32;9,48;
;6,65;9,32;6,67;9,83;
;6,94;10,02;6,98;10,14;
;7,20;10,18;7,27;10,43;
;7,48;10,51;7,53;10,69;
;7,75;10,39;7,76;10,92;
;7,94;10,56;7,98;11,14;
;8,14;10,72;8,17;11,33;
0,50;8,23;11,03;8,34;11,50;
;8,19;10,85;8,50;11,66;
;8,36;10,93;8,64;11,80;
;8,58;11,41;8,77;11,93;
;8,72;11,46;8,89;12,04;
;8,79;11,60;8,99;12,15;
;8,98;11,83;9,09;12,25;
;9,12;11,93;9,17;12,33;
;9,07;12,11;9,25;12,41;
;9,09;12,07;9,32;12,48;
;9,22;12,17;9,38;12,54;
;9,24;12,03;9,44;12,60;
;9,36;12,16;9,49;12,65;
;9,52;12,55;9,54;12,70;
;9,87;13,14;9,58;12,74;
;9,82;12,92;9,62;12,78;
;10,00;13,07;9,66;12,82;
;10,10;13,37;9,69;12,85;
1,00;10,16;13,45;9,72;12,88;
;10,04;13,21;9,74;12,90;
;10,08;13,42;9,77;12,93;
;10,03;13,15;9,79;12,95;
;9,87;12,92;9,81;12,97;
;9,89;12,86;9,83;12,98;
;10,01;13,06;9,84;13,00;
;9,84;12,90;9,86;13,01;
;9,89;12,84;9,87;13,03;
;9,91;12,92;9,88;13,04;
;10,25;13,27;9,89;13,05;
;10,32;13,51;9,90;13,06;
;10,18;13,25;9,91;13,07;
;9,76;12,78;9,92;13,08;
;9,82;12,62;9,92;13,08;
;9,96;12,89;9,93;13,09;
;10,00;13,03;9,94;13,09;
;9,85;13,06;9,94;13,10;
1,50;9,80;13,02;9,95;13,10;
;9,97;12,84;9,95;13,11;
;10,00;12,88;9,95;13,11;
;9,81;12,78;9,96;13,12;
;9,94;13,24;9,96;13,12;
;9,86;13,12;9,96;13,12;
;9,78;12,93;9,97;13,12;
;9,91;13,19;9,97;13,13;
;10,10;13,28;9,97;13,13;
;10,11;13,26;9,97;13,13;
;10,00;13,25;9,97;13,13;
;10,19;13,34;9,98;13,13;
;10,02;13,05;9,98;13,14;
;10,09;13,21;9,98;13,14;
;10,17;13,42;9,98;13,14;
;10,16;13,33;9,98;13,14;
;10,12;13,41;9,98;13,14;
;10,05;13,42;9,98;13,14;
2,00;9,87;13,27;9,98;13,14;
;10,05;13,45;9,98;13,14;
;10,16;13,42;9,98;13,14;
;9,97;13,17;9,98;13,14;
;9,93;13,15;9,99;13,14;
;9,86;12,93;9,99;13,14;
;9,91;13,04;9,99;13,15;
;9,91;12,74;9,99;13,15;
;9,92;12,79;9,99;13,15;
;9,98;13,12;9,99;13,15;
;9,78;12,78;9,99;13,15;
;9,77;12,75;9,99;13,15;
;9,97;12,80;9,99;13,15;
;10,01;12,68;9,99;13,15;
;9,95;12,81;9,99;13,15;
;9,89;12,84;9,99;13,15;
;9,93;13,06;9,99;13,15;
;9,77;12,86;9,99;13,15;
2,50;9,72;12,76;9,99;13,15;
;9,74;12,62;9,99;13,15;
;9,53;12,37;9,99;13,15;
;9,63;12,76;9,99;13,15;
;9,68;12,90;9,99;13,15;
;9,66;12,84;9,99;13,15;
;9,66;12,85;9,99;13,15;
;9,82;13,05;9,99;13,15;
;9,95;13,32;9,99;13,15;
;9,92;13,35;9,99;13,15;
;9,74;12,95;9,99;13,15;
;9,62;12,80;9,99;13,15;
;9,87;13,06;9,99;13,15;
;10,00;13,26;9,99;13,15;
;10,03;13,13;9,99;13,15;
;10,13;13,49;9,99;13,15;
;10,20;13,63;9,99;13,15;
;10,18;13,69;9,99;13,15;
3,00;10,14;13,50;9,99;13,15;
;10,16;13,47;9,99;13,15;
;10,14;13,43;9,99;13,15;
;9,87;12,93;9,99;13,15;
;9,77;12,92;9,99;13,15;
;9,64;12,67;9,99;13,15;
;9,58;12,57;9,99;13,15;
;9,47;12,46;9,99;13,15;
;9,55;12,63;9,99;13,15;
;9,88;13,04;9,99;13,15;
;9,99;13,17;9,99;13,15;
;9,90;13,17;9,99;13,15;
;10,05;13,09;9,99;13,15;
;9,89;12,94;9,99;13,15;
;9,90;12,93;9,99;13,15;
;10,14;13,01;9,99;13,15;
;10,03;12,89;9,99;13,15;
;9,85;12,57;9,99;13,15;
3,50;9,80;12,71;9,99;13,15;
;9,77;12,61;9,99;13,15;
;9,91;12,87;9,99;13,15;
;10,15;13,06;9,99;13,15;
;10,08;12,98;9,99;13,15;
;10,15;13,13;9,99;13,15;
;10,16;13,14;9,99;13,15;
;10,18;13,28;9,99;13,15;
;10,33;13,44;9,99;13,15;
;10,30;13,62;9,99;13,15;
;9,99;13,37;9,99;13,15;
;9,72;12,77;9,99;13,15;
;9,83;12,57;9,99;13,15;
;9,95;12,94;9,99;13,15;
;9,89;12,75;9,99;13,15;
;10,02;12,96;9,99;13,15;
;10,37;13,39;9,99;13,15;
;10,32;13,19;9,99;13,15;
4,00;10,54;13,45;9,99;13,15;
;10,58;13,61;9,99;13,15;
;10,51;13,54;9,99;13,15;
;10,27;13,30;9,99;13,15;
;10,14;13,20;9,99;13,15;
;10,15;13,13;9,99;13,15;
;10,13;13,21;9,99;13,15;
;10,08;13,15;9,99;13,15;
;10,24;13,32;9,99;13,15;
;10,23;13,48;9,99;13,15;
;10,08;13,41;9,99;13,15;
;10,16;13,45;9,99;13,15;
;10,07;13,15;9,99;13,15;
;10,05;13,06;9,99;13,15;
;10,28;13,49;9,99;13,15;
;10,31;13,46;9,99;13,15;
;10,14;13,06;9,99;13,15;
;9,99;13,10;9,99;13,15;
4,50;9,59;12,59;9,99;13,15;
;9,54;12,65;9,99;13,15;
;9,74;12,84;9,99;13,15;
;9,74;12,97;9,99;13,15;
;9,73;13,16;9,99;13,15;
;9,55;12,99;9,99;13,15;
;9,64;13,14;9,99;13,15;
;9,89;13,39;9,99;13,15;
;9,94;13,44;9,99;13,15;
;9,91;13,06;9,99;13,15;
;10,03;13,09;9,99;13,15;
;9,89;13,24;9,99;13,15;
;9,76;13,10;9,99;13,15;
;9,85;13,20;9,99;13,15;
;9,87;13,28;9,99;13,15;
;9,79;13,28;9,99;13,15;
;9,79;13,14;9,99;13,15;
;9,86;13,28;9,99;13,15;
5,00;9,72;13,10;9,99;13,15;
;9,66;13,17;9,99;13,15;
;9,80;13,23;9,99;13,15;
;9,73;12,95;9,99;13,15;
;9,72;12,71;9,99;13,15;
;9,79;12,96;9,99;13,15;
;9,80;12,84;9,99;13,15;
;9,70;12,75;9,99;13,15;
;9,85;12,86;9,99;13,15;
;9,90;12,78;9,99;13,15;
;9,83;12,69;9,99;13,15;
;9,97;12,96;9,99;13,15;
;9,92;12,98;9,99;13,15;
;10,04;13,11;9,99;13,15;
;9,91;13,05;9,99;13,15;
;10,24;13,43;9,99;13,15;
;10,38;13,66;9,99;13,15;
;10,20;13,50;9,99;13,15;
5,50;10,18;13,54;9,99;13,15;
;10,32;13,62;9,99;13,15;
;10,21;13,43;9,99;13,15;
;10,18;13,59;9,99;13,15;
;10,26;13,73;9,99;13,15;
;10,23;13,74;9,99;13,15;
;10,01;13,52;9,99;13,15;
;9,87;13,27;9,99;13,15;
;9,60;13,02;9,99;13,15;
;9,41;12,80;9,99;13,15;
;9,49;12,72;9,99;13,15;
;9,24;12,49;9,99;13,15;
;9,48;12,73;9,99;13,15;
;9,55;12,79;9,99;13,15;
;9,56;12,89;9,99;13,15;
;9,54;12,83;9,99;13,15;
;9,78;12,80;9,99;13,15;
;9,89;12,81;9,99;13,15;
6,00;9,84;12,91;9,99;13,15;
;9,76;12,75;9,99;13,15;
;9,65;12,57;9,99;13,15;
;9,77;12,87;9,99;13,15;
;9,98;13,04;9,99;13,15;
;10,12;13,31;9,99;13,15;
;10,06;13,42;9,99;13,15;
;10,09;13,42;9,99;13,15;
;10,13;13,50;9,99;13,15;
;10,07;13,61;9,99;13,15;
;10,04;13,45;9,99;13,15;
;9,97;13,08;9,99;13,15;
;9,54;12,56;9,99;13,15;
;9,51;12,71;9,99;13,15;
;9,57;12,47;9,99;13,15;
;9,41;12,19;9,99;13,15;
;9,49;12,38;9,99;13,15;
;9,62;12,73;9,99;13,15;
6,50;9,71;12,93;9,99;13,15;
;9,57;12,70;9,99;13,15;
;9,50;12,49;9,99;13,15;
;9,40;12,50;9,99;13,15;
;9,45;12,50;9,99;13,15;
;9,75;12,77;9,99;13,15;
;9,82;12,94;9,99;13,15;
;9,76;12,73;9,99;13,15;
;9,61;12,55;9,99;13,15;
;9,58;12,57;9,99;13,15;
;9,71;12,66;9,99;13,15;
;9,60;12,83;9,99;13,15;
;9,88;13,09;9,99;13,15;
;9,83;13,06;9,99;13,15;
;9,52;12,65;9,99;13,15;
;9,75;12,78;9,99;13,15;
;9,73;12,99;9,99;13,15;
;10,01;13,13;9,99;13,15;
