Parameters:
Lambda;0.48
Initial N;10000
Delta t;0.001
T (time steps);25.2
Number of experiments;100
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
0,00;1,00;1,00;0,00;0,00;
;95,17;97,26;446,17;492,98;
;181,20;185,05;830,96;877,77;
;260,62;265,87;1162,81;1209,63;
;334,61;340,61;1449,02;1495,83;
;402,63;409,62;1695,85;1742,66;
;466,43;474,08;1908,72;1955,53;
;526,98;536,48;2092,31;2139,12;
;583,05;593,56;2250,64;2297,45;
;635,42;646,05;2387,19;2434,01;
;685,01;696,56;2504,96;2551,77;
;733,19;744,94;2606,52;2653,34;
;778,29;791,11;2694,12;2740,93;
;822,21;834,90;2769,66;2816,47;
;863,93;876,74;2834,81;2881,62;
;903,42;916,86;2891,00;2937,81;
;941,30;955,11;2939,46;2986,27;
;978,19;991,38;2981,25;3028,06;
0,50;1013,83;1027,14;3017,29;3064,10;
;1048,16;1061,78;3048,37;3095,19;
;1081,50;1095,89;3075,18;3121,99;
;1113,28;1127,76;3098,30;3145,11;
;1144,24;1159,97;3118,24;3165,05;
;1173,90;1190,31;3135,44;3182,25;
;1203,95;1220,59;3150,27;3197,08;
;1232,07;1250,04;3163,06;3209,87;
;1259,31;1277,12;3174,09;3220,90;
;1285,72;1302,72;3183,60;3230,42;
;1311,67;1329,30;3191,81;3238,62;
;1336,69;1354,03;3198,88;3245,70;
;1361,79;1379,30;3204,99;3251,80;
;1384,74;1403,25;3210,25;3257,06;
;1407,80;1426,56;3214,79;3261,60;
;1430,59;1448,95;3218,70;3265,51;
;1452,54;1471,23;3222,08;3268,89;
;1473,80;1492,34;3224,99;3271,80;
1,00;1495,81;1514,53;3227,50;3274,31;
;1516,08;1534,79;3229,67;3276,48;
;1535,61;1554,44;3231,53;3278,35;
;1555,21;1574,33;3233,15;3279,96;
;1573,83;1592,57;3234,53;3281,35;
;1592,69;1611,85;3235,73;3282,54;
;1611,73;1631,01;3236,77;3283,58;
;1629,78;1648,11;3237,66;3284,47;
;1646,87;1665,48;3238,43;3285,24;
;1664,99;1683,32;3239,09;3285,90;
;1681,96;1700,45;3239,66;3286,47;
;1699,66;1718,46;3240,15;3286,96;
;1715,81;1734,47;3240,58;3287,39;
;1731,32;1749,76;3240,94;3287,76;
;1747,00;1765,05;3241,26;3288,07;
;1762,31;1780,58;3241,53;3288,35;
;1777,48;1795,49;3241,77;3288,58;
;1792,49;1811,06;3241,97;3288,78;
1,50;1806,80;1825,87;3242,15;3288,96;
;1821,34;1841,05;3242,30;3289,11;
;1836,07;1856,01;3242,43;3289,24;
;1849,54;1869,83;3242,54;3289,35;
;1863,57;1883,55;3242,64;3289,45;
;1877,10;1897,04;3242,72;3289,53;
;1890,87;1911,11;3242,79;3289,60;
;1903,44;1923,70;3242,85;3289,67;
;1915,87;1935,45;3242,91;3289,72;
